Player Name,Country,Role
Glenn Maxwell,Australia,Batting Allrounder
Jean-Paul Duminy,South Africa,Batting Allrounder
Carlos Brathwaite,West Indies,Allrounder
Hardik Pandya,India,Allrounder
Imad Wasim,Pakistan,Allrounder
Alex Carey,Australia,Wicketkeeper Batter
Avishka Fernando,Sri Lanka,Opening Batter
Jason Roy,England,Opening Batter
Jos Buttler,England,Wicketkeeper Batter
Kusal Perera,Sri Lanka,Wicketkeeper Batter
Litton Das,Bangladesh,Wicketkeeper Batter
Shimron Hetmyer,West Indies,Middle order Batter
Heinrich Klaasen,South Africa,Wicketkeeper Batter
