batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
Alex Careyʠ,9,114.80555555555556,43.785348211031845,375,41.666666666666664,40.0
Avishka Fernando,4,106.32,63.23914181057039,203,50.75,48.0
Carlos Brathwaite,6,117.37333333333333,53.4506129184347,154,25.666666666666668,24.166666666666668
Hardik Pandya,9,121.18666666666667,45.732020093433135,226,25.11111111111111,22.333333333333332
Imad Wasim,5,112.144,42.98631889560677,162,32.4,27.4
Jason Roy,7,110.35714285714286,68.23472823472824,443,63.285714285714285,54.857142857142854
Jos Buttlerʠ,9,126.35111111111112,36.18261602365601,312,34.666666666666664,28.22222222222222
Kusal Pereraʠ,7,105.31142857142858,45.17115068839207,273,39.0,35.142857142857146
Lahiru Thirimanne,5,109.87,41.34884696016771,143,28.6,32.6
Litton Das,5,103.928,46.86943907156673,184,36.8,33.4
Shimron Hetmyer,8,102.5275,43.485719899513,257,32.125,31.625
