batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Rohit Sharma (c),47,31,44,4,3,151.61,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Shubman Gill,4,7,21,0,0,57.14,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Virat Kohli,54,63,99,4,0,85.71,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Shreyas Iyer,4,3,3,1,0,133.33,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
KL Rahul †,66,107,133,1,0,61.68,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Ravindra Jadeja,9,22,33,0,0,40.90,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Suryakumar Yadav,18,28,57,1,0,64.28,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Mohammed Shami,6,10,9,1,0,60.00,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Jasprit Bumrah,1,3,5,0,0,33.33,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Kuldeep Yadav,10,18,28,0,0,55.55,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235,scorecard
Mohammed Siraj,9,8,13,1,0,112.50,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
David Warner,7,3,6,1,0,233.33,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Travis Head,137,120,166,15,4,114.16,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Mitchell Marsh,15,15,15,1,1,100.00,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Steven Smith,4,9,11,1,0,44.44,https://www.espncricinfo.com/cricketers/steven-smith-267192,scorecard
Marnus Labuschagne,58,110,133,4,0,52.72,https://www.espncricinfo.com/cricketers/marnus-labuschagne-787987,scorecard
Glenn Maxwell,2,1,1,0,0,200.00,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Quinton de Kock †,3,14,27,0,0,21.42,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
Temba Bavuma (c),0,4,5,0,0,0.00,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,scorecard
Rassie van der Dussen,6,31,53,0,0,19.35,https://www.espncricinfo.com/cricketers/rassie-van-der-dussen-337790,scorecard
Aiden Markram,10,20,24,2,0,50.00,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Heinrich Klaasen,47,48,76,4,2,97.91,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,scorecard
David Miller,101,116,138,8,5,87.06,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Marco Jansen,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/marco-jansen-696401,scorecard
Gerald Coetzee,19,39,42,2,0,48.71,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,scorecard
Keshav Maharaj,4,8,13,0,0,50.00,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,scorecard
Kagiso Rabada,10,12,18,0,1,83.33,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
