bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Mitchell Starc,10,0,55,3,5.50,30,4,1,3,0,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
Josh Hazlewood,10,0,60,2,6.00,22,4,1,1,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Glenn Maxwell,6,0,35,1,5.83,19,4,1,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Pat Cummins,10,0,34,2,3.40,30,0,0,2,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Adam Zampa,10,0,44,1,4.40,22,1,0,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,scorecard
Mitchell Marsh,2,0,5,0,2.50,7,0,0,0,0,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Travis Head,2,0,4,0,2.00,8,0,0,0,0,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Jasprit Bumrah,9,2,43,2,4.77,37,8,0,0,0,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Mohammed Shami,7,1,47,1,6.71,28,6,1,3,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Ravindra Jadeja,10,0,43,0,4.30,29,1,1,1,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Kuldeep Yadav,10,0,56,0,5.60,25,3,2,0,0,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235,scorecard
Mohammed Siraj,7,0,45,1,6.42,16,4,1,0,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Mitchell Starc,10,1,34,3,3.40,46,3,1,4,0,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
Josh Hazlewood,8,3,12,2,1.50,39,1,0,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Adam Zampa,7,0,55,0,7.85,21,1,6,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,scorecard
