batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Abdullah Shafique,8,71.4,63.43321816571201,336.0,42.0
Adam Zampa,6,75.23,18.30721003134796,48.0,8.0
Adil Rashid,9,91.63111111111111,33.48776223776224,92.0,10.222222222222221
Aiden Markram,8,166.60625000000002,61.245493238417765,304.0,38.0
Aiden Markram (c),2,91.2,42.38095238095238,102.0,51.0
Alex Carey †,1,0.0,,0.0,0.0
Andile Phehlukwayo,1,105.4,56.41025641025641,39.0,39.0
Angelo Mathews,4,48.927499999999995,42.270531400966185,51.0,12.75
Aryan Dutt,9,88.58666666666666,27.10193724686478,70.0,7.777777777777778
Azmatullah Omarzai,8,100.35375,52.8744077080523,353.0,44.125
Babar Azam (c),9,79.11111111111111,44.28268779145972,320.0,35.55555555555556
Bas de Leede,9,58.71,42.31001853477709,139.0,15.444444444444445
Ben Stokes,6,71.93333333333334,59.73223514211886,304.0,50.666666666666664
Cameron Green,3,67.7,30.851063829787233,63.0,21.0
Chamika Karunaratne,2,26.735,33.33333333333333,8.0,4.0
Charith Asalanka,8,71.39999999999999,32.88348676639816,288.0,36.0
Chris Woakes,8,76.72874999999999,56.81161858682867,131.0,16.375
Colin Ackermann,9,71.73111111111112,54.03538776830072,216.0,24.0
Daryl Mitchell,9,105.54222222222222,55.786703640927016,552.0,61.333333333333336
Dasun Shanaka (c),2,88.16499999999999,30.88235294117647,80.0,40.0
David Miller,10,123.346,63.900067656411736,356.0,35.6
David Warner,11,119.57454545454544,63.924298599365756,535.0,48.63636363636363
David Willey,6,163.93333333333334,83.84920634920634,78.0,13.0
Dawid Malan,9,89.67,64.7169900712726,404.0,44.888888888888886
Devon Conway,10,87.45599999999999,61.81690872480346,372.0,37.2
Dhananjaya de Silva,7,73.49285714285715,51.685906898644625,140.0,20.0
Dilshan Madushanka,6,53.81833333333333,74.03508771929825,28.0,4.666666666666667
Dimuth Karunaratne,2,35.71,26.666666666666668,15.0,7.5
Dunith Wellalage,3,49.07333333333333,20.0,12.0,4.0
Dushan Hemantha,2,66.665,100.0,4.0,2.0
Dushmantha Chameera,4,18.61,0.0,6.0,1.5
Fakhar Zaman,4,89.0275,61.111111111111114,220.0,55.0
Fazalhaq Farooqi,3,16.666666666666668,0.0,2.0,0.6666666666666666
Gerald Coetzee,4,80.32000000000001,26.43540669856459,54.0,13.5
Glenn Maxwell,9,112.66777777777777,43.240637732909605,400.0,44.44444444444444
Glenn Phillips,9,119.54444444444442,61.34428731539216,285.0,31.666666666666668
Gus Atkinson,3,122.21999999999998,40.0,37.0,12.333333333333334
Hardik Pandya,1,137.5,54.54545454545454,11.0,11.0
Haris Rauf,5,59.955999999999996,57.73809523809524,53.0,10.6
Harry Brook,6,118.49833333333333,70.21033868092691,169.0,28.166666666666668
Hasan Ali,3,54.38333333333333,83.33333333333333,20.0,6.666666666666667
Hasan Mahmud,1,60.0,53.333333333333336,15.0,15.0
Hashmatullah Shahidi (c),9,62.919999999999995,30.33800915984824,310.0,34.44444444444444
Heinrich Klaasen,10,123.19500000000001,51.179057033323964,373.0,37.3
Ibrahim Zadran,9,73.62888888888888,57.29915693027161,376.0,41.77777777777778
Iftikhar Ahmed,8,115.1275,57.635044693868224,142.0,17.75
Ikram Alikhil †,3,88.01666666666667,62.62351280500101,89.0,29.666666666666668
Imam-ul-Haq,6,86.03166666666668,54.033613445378144,162.0,27.0
Ishan Kishan,2,50.0,68.08510638297872,47.0,23.5
James Neesham,2,74.355,51.724137931034484,58.0,29.0
Jasprit Bumrah,3,65.77666666666666,8.333333333333334,18.0,6.0
Joe Root,9,64.21555555555557,31.26637590052224,276.0,30.666666666666668
Jonny Bairstow,9,73.14666666666666,54.53855466567331,215.0,23.88888888888889
Jos Buttler (c)†,9,105.91000000000001,43.439563594602355,138.0,15.333333333333334
Josh Hazlewood,5,60.0,0.0,4.0,0.8
Josh Inglis †,8,90.90625,55.616532806058345,159.0,19.875
KL Rahul †,10,96.785,40.84947324582191,452.0,45.2
Kagiso Rabada,4,64.1,42.22222222222222,25.0,6.25
Kane Williamson (c),4,95.2475,53.91752793354624,256.0,64.0
Kasun Rajitha,4,65.055,41.269841269841265,52.0,13.0
Keshav Maharaj,6,59.17666666666667,35.857142857142854,59.0,9.833333333333334
Kuldeep Yadav,2,62.39,22.22222222222222,19.0,9.5
Kusal Mendis (c)†,7,66.09,42.2174316911159,96.0,13.714285714285714
Kusal Mendis †,2,169.695,79.81018119068162,198.0,99.0
Kusal Perera,7,78.05999999999999,82.13316095669036,149.0,21.285714285714285
Lahiru Kumara,1,50.0,100.0,4.0,4.0
Liam Livingstone,6,46.278333333333336,25.925925925925924,60.0,10.0
Litton Das,9,66.41111111111111,54.28223441953419,284.0,31.555555555555557
Lockie Ferguson,3,73.33333333333333,50.0,7.0,2.3333333333333335
Logan van Beek,8,72.685,33.157776006496924,140.0,17.5
Lungi Ngidi,3,19.243333333333336,0.0,11.0,3.6666666666666665
Mahedi Hasan,3,51.71333333333333,17.366946778711483,33.0,11.0
Maheesh Theekshana,6,42.53333333333333,54.36435917379656,100.0,16.666666666666668
Mahmudullah,7,92.87857142857142,59.9141072514425,328.0,46.857142857142854
Marco Jansen,8,99.21,40.257456828885395,157.0,19.625
Marcus Stoinis,5,121.51599999999999,66.57142857142857,87.0,17.4
Mark Chapman,6,103.815,30.822954822954824,84.0,14.0
Mark Wood,7,90.13285714285715,60.34108527131782,85.0,12.142857142857142
Marnus Labuschagne,10,70.87899999999999,38.84724730154196,362.0,36.2
Matheesha Pathirana,2,32.29,40.0,6.0,3.0
Matt Henry,4,90.625,52.22222222222222,19.0,4.75
Max O'Dowd,9,57.00555555555555,71.72123015873015,138.0,15.333333333333334
Mehidy Hasan Miraz,9,79.37333333333333,38.24920189711478,201.0,22.333333333333332
Mitchell Marsh,10,84.35,59.619298053427485,441.0,44.1
Mitchell Santner,7,117.89142857142858,40.847108073998825,103.0,14.714285714285714
Mitchell Starc,8,49.35,20.634920634920636,87.0,10.875
Moeen Ali,6,78.45666666666666,32.52886002886003,95.0,15.833333333333334
Mohammad Nabi,6,74.13333333333334,28.773322194374828,55.0,9.166666666666666
Mohammad Nawaz,4,76.69,37.637362637362635,81.0,20.25
Mohammad Rizwan †,8,96.765,51.947038271162434,395.0,49.375
Mohammad Wasim,2,96.025,86.60714285714286,23.0,11.5
Mohammed Shami,4,57.5,16.666666666666664,10.0,2.5
Mohammed Siraj,1,112.5,44.44444444444444,9.0,9.0
Mujeeb Ur Rahman,5,115.332,63.857142857142854,51.0,10.2
Mushfiqur Rahim †,9,67.87888888888888,34.53391351224169,202.0,22.444444444444443
Mustafizur Rahman,6,39.99666666666667,23.787878787878793,42.0,7.0
Najibullah Zadran,2,31.73,0.0,7.0,3.5
Najmul Hossain Shanto,7,61.57285714285714,65.97471078827012,169.0,24.142857142857142
Najmul Hossain Shanto (c),2,62.995,26.666666666666668,53.0,26.5
Nasum Ahmed,3,80.46666666666665,40.100250626566414,40.0,13.333333333333334
Naveen-ul-Haq,5,49.166,41.48148148148148,16.0,3.2
Noor Ahmad,1,81.25,61.53846153846154,26.0,26.0
Pat Cummins (c),8,97.8375,52.877910377910375,128.0,16.0
Pathum Nissanka,9,65.19888888888889,51.323920433171146,332.0,36.888888888888886
Paul van Meekeren,8,62.08125,42.857142857142854,26.0,3.25
Quinton de Kock †,10,106.53900000000002,61.91265840622575,594.0,59.4
Rachin Ravindra,10,94.56700000000001,59.42839791779212,578.0,57.8
Rahmanullah Gurbaz,7,86.27142857142857,63.2093462093462,212.0,30.285714285714285
