bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Adam Zampa,8.0,0,53,0,6.62,13,4,0,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,0.0,31.28,0.0,27.41,27.08,45.92
Adam Zampa,10.0,0,21,3,2.1,41,0,0,2,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,20.0,31.28,7.0,27.41,68.33,45.92
Adam Zampa,10.0,0,53,4,5.3,25,3,1,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,15.0,31.28,13.25,27.41,41.67,45.92
Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,0.0,31.28,0.0,27.41,50.0,45.92
Adam Zampa,8.0,1,47,4,5.87,26,5,1,2,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,12.0,31.28,11.75,27.41,54.17,45.92
Adam Zampa,10.0,0,58,1,5.8,22,2,2,2,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,60.0,31.28,58.0,27.41,36.67,45.92
Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,60.0,31.28,44.0,27.41,36.67,45.92
Adam Zampa,10.0,0,32,2,3.2,39,2,1,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,30.0,31.28,16.0,27.41,65.0,45.92
Adam Zampa,10.0,0,74,3,7.4,22,6,3,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,20.0,31.28,24.67,27.41,36.67,45.92
Adam Zampa,10.0,0,70,1,7.0,20,9,0,1,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,60.0,31.28,70.0,27.41,33.33,45.92
Adam Zampa,3.0,0,8,4,2.66,10,0,0,0,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,11,5.29,4.5,31.28,2.0,27.41,55.56,45.92
Adil Rashid,10.0,0,55,2,5.5,26,4,1,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,30.0,30.86,27.5,24.07,43.33,45.26
Adil Rashid,10.0,0,35,2,3.5,35,3,0,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,30.0,30.86,17.5,24.07,58.33,45.26
Adil Rashid,10.0,1,42,3,4.2,29,1,1,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,20.0,30.86,14.0,24.07,48.33,45.26
Adil Rashid,10.0,0,42,1,4.2,31,1,1,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,60.0,30.86,42.0,24.07,51.67,45.26
Adil Rashid,10.0,0,61,2,6.1,20,4,1,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,30.0,30.86,30.5,24.07,33.33,45.26
Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,0.0,30.86,0.0,24.07,34.09,45.26
Adil Rashid,10.0,0,38,2,3.8,34,1,1,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,30.0,30.86,19.0,24.07,56.67,45.26
Adil Rashid,7.0,0,47,0,6.71,15,4,1,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,0.0,30.86,0.0,24.07,35.71,45.26
Adil Rashid,8.0,0,54,3,6.75,22,5,2,1,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,9,5.46,16.0,30.86,18.0,24.07,45.83,45.26
Aiden Markram,2.0,0,17,0,8.5,4,1,1,1,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,4,5.48,0.0,48.0,0.0,23.0,33.33,51.14
Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,4,5.48,0.0,48.0,0.0,23.0,50.39,51.14
Aiden Markram,4.0,0,20,0,5.0,12,2,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,4,5.48,0.0,48.0,0.0,23.0,50.0,51.14
Aiden Markram,8.0,1,23,1,2.87,34,1,1,1,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,4,5.48,48.0,48.0,23.0,23.0,70.83,51.14
Andile Phehlukwayo,7.0,0,36,1,5.14,20,4,0,0,0,https://www.espncricinfo.com/cricketers/andile-phehlukwayo-540316,1,5.14,42.0,42.0,36.0,36.0,47.62,47.62
Angelo Mathews,3.0,0,11,0,3.66,10,1,0,0,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,5,4.92,0.0,16.1,0.0,13.0,55.56,50.93
Angelo Mathews,3.0,0,18,0,6.0,8,2,0,0,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,5,4.92,0.0,16.1,0.0,13.0,44.44,50.93
Angelo Mathews,5.0,1,14,2,2.8,17,0,0,0,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,5,4.92,15.0,16.1,7.0,13.0,56.67,50.93
Angelo Mathews,4.0,0,29,2,7.25,10,4,0,1,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,5,4.92,12.0,16.1,14.5,13.0,41.67,50.93
Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,5,4.92,21.3,16.1,17.5,13.0,56.34,50.93
Aryan Dutt,10.0,2,62,2,6.2,31,3,3,1,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,30.0,40.33,31.0,35.36,51.67,56.95
Aryan Dutt,7.0,0,52,0,7.42,19,7,1,1,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,9,5.57,0.0,40.33,0.0,35.36,45.24,56.95
