batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
AB de Villiers,2,162.775,66.73669467787116,79,39.5
AB de Villiers †,12,136.71583333333334,52.28878565740334,375,31.25
Aaron Finch,12,105.43,58.341588024961105,268,22.333333333333332
Abdul Samad,8,142.60375,55.99311661423463,111,13.875
Abhishek Sharma,7,129.67714285714285,40.92056177309634,71,10.142857142857142
Ajinkya Rahane,8,64.93625,40.427350427350426,113,14.125
Alex Carey †,3,106.79333333333334,14.285714285714285,32,10.666666666666666
Ambati Rayudu,11,120.27272727272727,47.83396523963159,359,32.63636363636363
Andre Russell,9,139.2211111111111,67.54756971423639,117,13.0
Andrew Tye,1,100.0,100.0,6,6.0
Ankit Rajpoot,2,90.0,42.857142857142854,9,4.5
Anrich Nortje,5,96.666,0.0,7,1.4
Arshdeep Singh,1,0.0,,0,0.0
Axar Patel,9,148.70333333333332,44.24732856105405,117,13.0
Ben Stokes,8,135.01749999999998,64.0788920481433,285,35.625
Bhuvneshwar Kumar,1,0.0,,0,0.0
Chris Gayle,7,135.8957142857143,61.54475820019851,288,41.142857142857146
Chris Jordan,5,76.832,15.384615384615385,29,5.8
Chris Morris,5,125.5,47.0,34,6.8
Dale Steyn,1,50.0,0.0,1,1.0
Daniel Sams,1,0.0,,0,0.0
David Miller,1,0.0,,0,0.0
David Warner (c),16,124.971875,52.0360333849852,548,34.25
Deepak Chahar,3,66.66666666666667,0.0,7,2.3333333333333335
Deepak Hooda,5,103.718,32.05236091631604,101,20.2
Devdutt Padikkal,15,108.20800000000001,43.881162764496096,473,31.533333333333335
Dhawal Kulkarni,1,150.0,0.0,3,3.0
Dinesh Karthik (c)†,7,85.40714285714286,29.310344827586203,108,15.428571428571429
Dinesh Karthik †,7,77.95857142857143,45.221674876847295,61,8.714285714285714
Dwayne Bravo,2,70.0,0.0,7,3.5
Eoin Morgan,7,122.58285714285714,58.4929426315981,175,25.0
Eoin Morgan (c),7,148.3842857142857,66.03749191984487,243,34.714285714285715
Faf du Plessis,13,120.11076923076924,48.638881066589924,449,34.53846153846154
Glenn Maxwell,11,95.90727272727273,28.206876456876454,108,9.818181818181818
Gurkeerat Singh Mann,5,96.458,36.210526315789465,71,14.2
Hardik Pandya,13,160.46384615384613,66.44201975084327,281,21.615384615384617
Harshal Patel,2,81.10499999999999,52.5,21,10.5
Imran Tahir,1,130.0,61.53846153846154,13,13.0
Ishan Kishan,13,132.14923076923077,60.307419466337876,516,39.69230769230769
Isuru Udana,4,108.3325,53.333333333333336,15,3.75
James Neesham,3,97.21999999999998,20.0,19,6.333333333333333
James Pattinson,2,108.75,36.36363636363637,15,7.5
Jason Holder,4,128.95749999999998,42.74475524475525,66,16.5
Jasprit Bumrah,1,166.66,0.0,5,5.0
Jaydev Unadkat,1,69.23,0.0,9,9.0
Jofra Archer,10,173.59,48.11965811965812,113,11.3
Jonny Bairstow,1,50.0,0.0,5,5.0
Jonny Bairstow †,10,114.175,62.85353133497377,340,34.0
Jos Buttler,5,135.18400000000003,46.87878787878788,160,32.0
Jos Buttler †,7,151.54571428571427,61.368512439941014,168,24.0
Josh Philippe,3,103.76666666666667,50.0,77,25.666666666666668
Josh Philippe †,2,25.0,0.0,1,0.5
KL Rahul (c),3,105.82666666666667,28.800228800228798,148,49.333333333333336
KL Rahul (c)†,11,123.86090909090909,56.28146217027501,522,47.45454545454545
Kagiso Rabada,8,85.65125,35.74074074074074,56,7.0
Kamlesh Nagarkoti,6,77.215,10.0,22,3.6666666666666665
Kane Williamson,11,127.15272727272728,42.25368553931993,317,28.818181818181817
Kartik Tyagi,3,44.44,0.0,4,1.3333333333333333
Karun Nair,3,73.61,26.666666666666668,16,5.333333333333333
Kedar Jadhav,5,81.354,31.568431568431567,62,12.4
