batsmanName,runs,balls,minutes,4s,6s,SR,player_link,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
AB de Villiers,51,30,-,4,2,170.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,2,162.775,6,28,54.90196078431373,66.73669467787116,79,39.5
AB de Villiers,28,18,-,4,1,155.55,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,2,162.775,5,22,78.57142857142857,66.73669467787116,79,39.5
AB de Villiersʠ,9,6,-,2,0,150.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,2,8,88.88888888888889,52.28878565740334,375,31.25
AB de Villiersʠ,12,10,-,1,0,120.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,1,4,33.33333333333333,52.28878565740334,375,31.25
AB de Villiersʠ,0,2,-,0,0,0.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,0,0,,52.28878565740334,375,31.25
AB de Villiersʠ,39,36,-,4,0,108.33,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,4,16,41.02564102564102,52.28878565740334,375,31.25
AB de Villiersʠ,35,21,-,1,2,166.66,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,3,16,45.714285714285715,52.28878565740334,375,31.25
AB de Villiersʠ,24,24,-,1,1,100.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,2,10,41.66666666666667,52.28878565740334,375,31.25
AB de Villiersʠ,15,12,-,1,1,125.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,2,10,66.66666666666666,52.28878565740334,375,31.25
AB de Villiersʠ,2,5,-,0,0,40.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,0,0,0.0,52.28878565740334,375,31.25
AB de Villiersʠ,55,22,-,1,6,250.0,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,7,40,72.72727272727273,52.28878565740334,375,31.25
AB de Villiersʠ,56,43,-,5,0,130.23,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,5,20,35.714285714285715,52.28878565740334,375,31.25
AB de Villiersʠ,55,24,-,4,4,229.16,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,8,40,72.72727272727273,52.28878565740334,375,31.25
AB de Villiersʠ,73,33,-,5,6,221.21,https://www.espncricinfo.com/cricketers/ab-de-villiers-44936,12,136.71583333333334,11,56,76.71232876712328,52.28878565740334,375,31.25
Aaron Finch,20,18,-,2,1,111.11,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,3,14,70.0,58.341588024961105,268,22.333333333333332
Aaron Finch,29,27,-,1,2,107.4,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,3,16,55.172413793103445,58.341588024961105,268,22.333333333333332
Aaron Finch,47,37,-,4,1,127.02,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,5,22,46.808510638297875,58.341588024961105,268,22.333333333333332
Aaron Finch,13,14,-,1,0,92.85,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,1,4,30.76923076923077,58.341588024961105,268,22.333333333333332
Aaron Finch,32,30,-,3,1,106.66,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,4,18,56.25,58.341588024961105,268,22.333333333333332
Aaron Finch,8,7,-,2,0,114.28,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,2,8,100.0,58.341588024961105,268,22.333333333333332
Aaron Finch,14,11,-,0,2,127.27,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,2,12,85.71428571428571,58.341588024961105,268,22.333333333333332
Aaron Finch,20,21,-,3,0,95.23,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,3,12,60.0,58.341588024961105,268,22.333333333333332
Aaron Finch,16,21,-,2,0,76.19,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,2,8,50.0,58.341588024961105,268,22.333333333333332
Aaron Finch,15,11,-,3,0,136.36,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,3,12,80.0,58.341588024961105,268,22.333333333333332
Aaron Finch,2,9,-,0,0,22.22,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,0,0,0.0,58.341588024961105,268,22.333333333333332
Aaron Finch,52,35,-,7,1,148.57,https://www.espncricinfo.com/cricketers/aaron-finch-5334,12,105.43,8,34,65.38461538461539,58.341588024961105,268,22.333333333333332
Abdul Samad,8,7,-,1,0,114.28,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,1,4,50.0,55.99311661423463,111,13.875
Abdul Samad,12,7,-,1,1,171.42,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,2,10,83.33333333333334,55.99311661423463,111,13.875
Abdul Samad,8,6,-,0,0,133.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,0,0,0.0,55.99311661423463,111,13.875
Abdul Samad,20,9,-,1,2,222.22,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,3,16,80.0,55.99311661423463,111,13.875
Abdul Samad,7,5,-,1,0,140.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,1,4,57.14285714285714,55.99311661423463,111,13.875
Abdul Samad,23,15,-,2,1,153.33,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,3,14,60.86956521739131,55.99311661423463,111,13.875
Abdul Samad,0,0,-,0,0,0.0,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,0,0,,55.99311661423463,111,13.875
Abdul Samad,33,16,-,2,2,206.25,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,8,142.60375,4,20,60.60606060606061,55.99311661423463,111,13.875
