bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Shakib Al Hasan,3,0,33,0,11.00,6,2,3,0,0,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Shivam Mavi,4,0,32,1,8.00,8,1,2,0,0,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Lockie Ferguson,4,0,56,0,14.00,4,7,2,2,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Varun Chakravarthy,4,0,38,0,9.50,5,2,2,0,1,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Sunil Narine,4,0,26,2,6.50,6,0,1,1,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Venkatesh Iyer,1,0,5,0,5.00,2,0,0,0,0,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Deepak Chahar,4,0,32,1,8.00,10,4,1,1,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Josh Hazlewood,4,0,29,2,7.25,10,2,1,2,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Shardul Thakur,4,0,38,3,9.50,11,3,1,4,1,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
Dwayne Bravo,4,0,29,1,7.25,9,1,2,0,0,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,scorecard
Ravindra Jadeja,4,0,37,2,9.25,9,3,2,1,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Shakib Al Hasan,4,0,28,0,7.00,9,2,1,1,0,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Lockie Ferguson,4,0,26,1,6.50,11,1,2,0,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Sunil Narine,4,0,27,0,6.75,9,0,2,1,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Varun Chakravarthy,4,0,26,2,6.50,7,2,0,0,1,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Shivam Mavi,4,0,27,1,6.75,9,1,1,1,0,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Anrich Nortje,4,0,31,2,7.75,10,2,1,1,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Ravichandran Ashwin,3.5,0,27,2,7.04,7,1,1,1,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Avesh Khan,4,0,22,1,5.50,9,1,0,0,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Axar Patel,4,0,32,0,8.00,8,0,3,1,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Kagiso Rabada,4,0,23,2,5.75,13,1,1,2,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Shakib Al Hasan,4,0,24,0,6.00,6,2,0,0,0,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,scorecard
Shivam Mavi,4,0,36,0,9.00,8,4,0,2,2,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Varun Chakravarthy,4,0,20,0,5.00,7,0,0,0,0,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Lockie Ferguson,4,0,30,2,7.50,8,4,0,1,0,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Sunil Narine,4,0,21,4,5.25,11,2,0,1,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Mohammed Siraj,4,0,19,2,4.75,10,1,0,0,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
George Garton,3,0,29,0,9.66,4,3,1,0,0,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Harshal Patel,4,0,19,2,4.75,10,1,0,1,0,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Yuzvendra Chahal,4,0,16,2,4.00,8,0,0,0,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Glenn Maxwell,3,0,25,0,8.33,4,2,1,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Dan Christian,1.4,0,29,0,17.40,1,1,3,2,0,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Deepak Chahar,3,0,26,0,8.66,5,4,0,1,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Josh Hazlewood,4,0,29,2,7.25,13,4,1,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Shardul Thakur,3,0,36,0,12.00,5,1,3,2,0,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
Ravindra Jadeja,3,0,23,1,7.66,4,3,0,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Moeen Ali,4,0,27,1,6.75,5,0,1,1,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Dwayne Bravo,3,0,31,1,10.33,4,3,1,2,0,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,scorecard
Anrich Nortje,4,0,31,1,7.75,7,4,0,0,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Avesh Khan,4,0,47,1,11.75,8,5,3,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Kagiso Rabada,3,0,23,0,7.66,5,1,1,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Axar Patel,3,0,23,0,7.66,7,2,1,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Tom Curran,3.4,0,29,3,7.90,6,3,0,2,0,https://www.espncricinfo.com/cricketers/tom-curran-550235,scorecard
Ravichandran Ashwin,2,0,19,0,9.50,0,2,0,0,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Glenn Maxwell,3,0,29,0,9.66,3,2,1,2,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Mohammed Siraj,4,0,25,2,6.25,11,4,0,0,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
George Garton,3,0,20,0,6.66,6,2,0,0,1,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Yuzvendra Chahal,4,0,34,1,8.50,5,1,2,0,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Harshal Patel,4,0,34,1,8.50,8,1,2,3,0,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Dan Christian,2,0,19,1,9.50,5,2,1,0,0,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Anrich Nortje,4,0,24,2,6.00,9,2,0,1,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Avesh Khan,4,0,31,0,7.75,11,2,1,2,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Axar Patel,4,0,39,1,9.75,8,4,2,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Kagiso Rabada,4,0,37,0,9.25,4,3,1,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Ravichandran Ashwin,1,0,11,0,11.00,1,0,1,0,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Ripal Patel,3,0,22,0,7.33,5,2,0,2,0,https://www.espncricinfo.com/cricketers/ripal-patel-1201520,scorecard
Mohammad Nabi,3,0,33,0,11.00,3,4,1,0,0,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,scorecard
Siddarth Kaul,4,0,56,0,14.00,5,10,1,0,0,https://www.espncricinfo.com/cricketers/siddarth-kaul-326017,scorecard
Jason Holder,4,0,52,4,13.00,9,6,2,3,0,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Umran Malik,4,0,48,1,12.00,7,8,1,1,0,https://www.espncricinfo.com/cricketers/umran-malik-1246528,scorecard
Rashid Khan,4,0,40,2,10.00,5,2,3,0,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Abhishek Sharma,1,0,4,2,4.00,4,0,0,1,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Trent Boult,4,0,30,1,7.50,8,4,0,0,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Jasprit Bumrah,4,0,39,2,9.75,8,4,0,3,0,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Piyush Chawla,4,0,38,1,9.50,3,3,1,0,0,https://www.espncricinfo.com/cricketers/piyush-chawla-32966,scorecard
Nathan Coulter-Nile,4,0,40,2,10.00,7,6,1,0,0,https://www.espncricinfo.com/cricketers/nathan-coulter-nile-261354,scorecard
James Neesham,3,0,28,2,9.33,5,3,1,0,0,https://www.espncricinfo.com/cricketers/james-neesham-355269,scorecard
