Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
GT,RR,GT,7 wickets,Ahmedabad,"May 29, 2022",Twenty20
RR,RCB,RR,7 wickets,Ahmedabad,"May 27, 2022",Twenty20
LSG,RCB,RCB,14 runs,Eden Gardens,"May 25, 2022",Twenty20
GT,RR,GT,7 wickets,Eden Gardens,"May 24, 2022",Twenty20
SRH,Punjab Kings,Punjab Kings,5 wickets,Wankhede,"May 22, 2022",Twenty20
MI,DC,MI,5 wickets,Wankhede,"May 21, 2022",Twenty20
RR,CSK,RR,5 wickets,Brabourne,"May 20, 2022",Twenty20
RCB,GT,RCB,8 wickets,Wankhede,"May 19, 2022",Twenty20
KKR,LSG,LSG,2 runs,DY Patil,"May 18, 2022",Twenty20
MI,SRH,SRH,3 runs,Wankhede,"May 17, 2022",Twenty20
Punjab Kings,DC,DC,17 runs,DY Patil,"May 16, 2022",Twenty20
LSG,RR,RR,24 runs,Brabourne,"May 15, 2022",Twenty20
CSK,GT,GT,7 wickets,Wankhede,"May 15, 2022",Twenty20
KKR,SRH,KKR,54 runs,Pune,"May 14, 2022",Twenty20
RCB,Punjab Kings,Punjab Kings,54 runs,Brabourne,"May 13, 2022",Twenty20
CSK,MI,MI,5 wickets,Wankhede,"May 12, 2022",Twenty20
RR,DC,DC,8 wickets,DY Patil,"May 11, 2022",Twenty20
LSG,GT,GT,62 runs,Pune,"May 10, 2022",Twenty20
MI,KKR,KKR,52 runs,DY Patil,"May 9, 2022",Twenty20
CSK,DC,CSK,91 runs,DY Patil,"May 8, 2022",Twenty20
SRH,RCB,RCB,67 runs,Wankhede,"May 8, 2022",Twenty20
LSG,KKR,LSG,75 runs,Pune,"May 7, 2022",Twenty20
Punjab Kings,RR,RR,6 wickets,Wankhede,"May 7, 2022",Twenty20
GT,MI,MI,5 runs,Brabourne,"May 6, 2022",Twenty20
DC,SRH,DC,21 runs,Brabourne,"May 5, 2022",Twenty20
RCB,CSK,RCB,13 runs,Pune,"May 4, 2022",Twenty20
GT,Punjab Kings,Punjab Kings,8 wickets,DY Patil,"May 3, 2022",Twenty20
KKR,RR,KKR,7 wickets,Wankhede,"May 2, 2022",Twenty20
SRH,CSK,CSK,13 runs,Pune,"May 1, 2022",Twenty20
DC,LSG,LSG,6 runs,Wankhede,"May 1, 2022",Twenty20
RR,MI,MI,5 wickets,DY Patil,"Apr 30, 2022",Twenty20
GT,RCB,GT,6 wickets,Brabourne,"Apr 30, 2022",Twenty20
Punjab Kings,LSG,LSG,20 runs,Pune,"Apr 29, 2022",Twenty20
DC,KKR,DC,4 wickets,Wankhede,"Apr 28, 2022",Twenty20
GT,SRH,GT,5 wickets,Wankhede,"Apr 27, 2022",Twenty20
RCB,RR,RR,29 runs,Pune,"Apr 26, 2022",Twenty20
Punjab Kings,CSK,Punjab Kings,11 runs,Wankhede,"Apr 25, 2022",Twenty20
LSG,MI,LSG,36 runs,Wankhede,"Apr 24, 2022",Twenty20
RCB,SRH,SRH,9 wickets,Brabourne,"Apr 23, 2022",Twenty20
KKR,GT,GT,8 runs,DY Patil,"Apr 23, 2022",Twenty20
DC,RR,RR,15 runs,Wankhede,"Apr 22, 2022",Twenty20
MI,CSK,CSK,3 wickets,DY Patil,"Apr 21, 2022",Twenty20
DC,Punjab Kings,DC,9 wickets,Brabourne,"Apr 20, 2022",Twenty20
LSG,RCB,RCB,18 runs,DY Patil,"Apr 19, 2022",Twenty20
RR,KKR,RR,7 runs,Brabourne,"Apr 18, 2022",Twenty20
GT,CSK,GT,3 wickets,Pune,"Apr 17, 2022",Twenty20
Punjab Kings,SRH,SRH,7 wickets,DY Patil,"Apr 17, 2022",Twenty20
DC,RCB,RCB,16 runs,Wankhede,"Apr 16, 2022",Twenty20
MI,LSG,LSG,18 runs,Brabourne,"Apr 16, 2022",Twenty20
SRH,KKR,SRH,7 wickets,Brabourne,"Apr 15, 2022",Twenty20
RR,GT,GT,37 runs,DY Patil,"Apr 14, 2022",Twenty20
MI,Punjab Kings,Punjab Kings,12 runs,Pune,"Apr 13, 2022",Twenty20
CSK,RCB,CSK,23 runs,DY Patil,"Apr 12, 2022",Twenty20
SRH,GT,SRH,8 wickets,DY Patil,"Apr 11, 2022",Twenty20
RR,LSG,RR,3 runs,Wankhede,"Apr 10, 2022",Twenty20
KKR,DC,DC,44 runs,Brabourne,"Apr 10, 2022",Twenty20
RCB,MI,RCB,7 wickets,Pune,"Apr 9, 2022",Twenty20
CSK,SRH,SRH,8 wickets,DY Patil,"Apr 9, 2022",Twenty20
Punjab Kings,GT,GT,6 wickets,Brabourne,"Apr 8, 2022",Twenty20
LSG,DC,LSG,6 wickets,DY Patil,"Apr 7, 2022",Twenty20
