batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
Aiden Markram,12,131.0625,46.1378274566138,381,31.75,22.833333333333332
Andre Russell,12,143.6875,70.73444650587507,335,27.916666666666668,16.0
David Miller,16,136.240625,46.50787419603667,481,30.0625,21.0625
Deepak Hooda,14,134.70071428571427,51.47034415543522,451,32.214285714285715,23.571428571428573
Liam Livingstone,14,167.06071428571428,57.45610257089849,437,31.214285714285715,17.142857142857142
Rahul Tripathi,14,138.48285714285714,66.8606442014915,413,29.5,18.642857142857142
Rajat Patidar,7,142.5857142857143,57.92959093451704,333,47.57142857142857,31.142857142857142
Rishabh Pant (c)†,13,161.48846153846154,62.11263354796976,340,26.153846153846153,17.23076923076923
Sanju Samson (c)†,17,148.9329411764706,69.30095743350584,458,26.941176470588236,18.352941176470587
Suryakumar Yadav,8,138.7375,57.96648944413137,303,37.875,26.0
