batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Abhishek Sharma,2,5,3,0,0,40.00,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Travis Head,0,1,11,0,0,0.00,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Rahul Tripathi,9,13,21,1,0,69.23,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Aiden Markram,20,23,41,3,0,86.95,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Nitish Kumar Reddy,13,10,14,1,1,130.00,https://www.espncricinfo.com/cricketers/nitish-kumar-reddy-1175496,scorecard
Heinrich Klaasen †,16,17,32,1,0,94.11,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,scorecard
Shahbaz Ahmed,8,7,5,0,1,114.28,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Abdul Samad,4,4,3,0,0,100.00,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,scorecard
Pat Cummins (c),24,19,28,2,1,126.31,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Jaydev Unadkat,4,11,16,0,0,36.36,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484,scorecard
Bhuvneshwar Kumar,0,1,3,0,0,0.00,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Rahmanullah Gurbaz †,39,32,46,5,2,121.87,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,scorecard
Sunil Narine,6,2,6,0,1,300.00,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Venkatesh Iyer,52,26,46,4,3,200.00,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Shreyas Iyer (c),6,3,6,1,0,200.00,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
Travis Head,34,28,42,3,1,121.42,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Abhishek Sharma,12,5,4,1,1,240.00,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
Rahul Tripathi,37,15,14,5,2,246.66,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763,scorecard
Aiden Markram,1,2,1,0,0,50.00,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Heinrich Klaasen †,50,34,64,0,4,147.05,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,scorecard
Nitish Kumar Reddy,5,10,17,0,0,50.00,https://www.espncricinfo.com/cricketers/nitish-kumar-reddy-1175496,scorecard
Abdul Samad,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/abdul-samad-1175485,scorecard
Shahbaz Ahmed,18,18,32,0,1,100.00,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Pat Cummins (c),5,5,11,1,0,100.00,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Jaydev Unadkat,5,2,4,1,0,250.00,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484,scorecard
Yashasvi Jaiswal,42,21,39,4,3,200.00,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
Tom Kohler-Cadmore,10,16,20,1,0,62.50,https://www.espncricinfo.com/cricketers/tom-kohler-cadmore-470633,scorecard
Sanju Samson (c)†,10,11,22,1,0,90.90,https://www.espncricinfo.com/cricketers/sanju-samson-425943,scorecard
Riyan Parag,6,10,12,0,0,60.00,https://www.espncricinfo.com/cricketers/riyan-parag-1079434,scorecard
Dhruv Jurel,56,35,52,7,2,160.00,https://www.espncricinfo.com/cricketers/dhruv-jurel-1175488,scorecard
Ravichandran Ashwin,0,3,2,0,0,0.00,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Shimron Hetmyer,4,10,8,0,0,40.00,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,scorecard
Rovman Powell,6,12,17,0,0,50.00,https://www.espncricinfo.com/cricketers/rovman-powell-820351,scorecard
Trent Boult,0,3,11,0,0,0.00,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Virat Kohli,33,24,34,3,1,137.50,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Faf du Plessis (c),17,14,22,2,1,121.42,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,scorecard
Cameron Green,27,21,33,2,1,128.57,https://www.espncricinfo.com/cricketers/cameron-green-1076713,scorecard
Rajat Patidar,34,22,32,2,2,154.54,https://www.espncricinfo.com/cricketers/rajat-patidar-823703,scorecard
Glenn Maxwell,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Mahipal Lomror,32,17,46,2,2,188.23,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265,scorecard
Dinesh Karthik †,11,13,23,1,0,84.61,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,scorecard
Swapnil Singh,9,4,9,0,1,225.00,https://www.espncricinfo.com/cricketers/swapnil-singh-232292,scorecard
Karn Sharma,5,4,6,1,0,125.00,https://www.espncricinfo.com/cricketers/karn-sharma-30288,scorecard
Yashasvi Jaiswal,45,30,45,8,0,150.00,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,scorecard
