bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Abhishek Sharma,4,8.25,12.0,12.0,25.0
Aiden Markram,2,7.5,0.0,0.0,33.33
Akash Deep,1,15.71,19.8,55.0,30.3
Akash Madhwal,5,11.47,16.87,36.56,32.8
Alzarri Joseph,3,12.7,24.0,43.0,33.17
Amit Mishra,1,10.0,12.0,20.0,41.67
Andre Russell,14,10.89,7.66,12.72,36.51
Anrich Nortje,6,13.35,15.5,37.04,30.56
Anshul Kamboj,3,11.5,21.0,33.0,32.87
Anukul Roy,3,10.6,0.0,0.0,40.87
Arjun Tendulkar,1,9.42,0.0,0.0,53.03
Arshad Khan,4,10.81,18.0,45.0,41.35
Arshdeep Singh,14,10.08,14.78,25.84,37.14
Atharva Taide,1,24.0,0.0,0.0,0.0
Avesh Khan,15,9.8,16.59,26.33,29.62
Axar Patel,14,9.06,17.33,21.11,29.07
Ayush Badoni,2,12.5,0.0,0.0,8.33
Azmatullah Omarzai,7,8.71,17.0,26.17,47.42
Bhuvneshwar Kumar,16,9.69,18.29,22.38,38.89
Cameron Green,13,9.16,15.86,18.57,32.3
Darshan Nalkande,3,8.9,4.5,8.25,44.44
Daryl Mitchell,2,11.0,12.0,18.0,12.5
Deepak Chahar,8,8.79,16.65,23.5,48.41
Deepak Hooda,2,7.75,0.0,0.0,20.83
Dushmantha Chameera,1,16.0,0.0,0.0,33.33
Gerald Coetzee,10,10.53,16.57,27.95,40.29
Glenn Maxwell,6,9.17,15.75,19.75,34.49
Gulbadin Naib,1,12.0,0.0,0.0,16.67
Hardik Pandya,12,11.46,14.83,24.31,29.4
Harpreet Brar,13,8.77,16.8,19.6,29.91
Harshal Patel,14,9.91,13.0,22.58,26.98
Harshit Rana,11,9.1,11.91,16.39,37.75
Himanshu Sharma,1,14.5,0.0,0.0,0.0
Ishant Sharma,9,9.61,12.83,19.97,41.67
Jasprit Bumrah,13,6.48,12.48,13.8,48.44
Jaydev Unadkat,11,10.2,18.4,29.9,23.28
Jhye Richardson,1,10.0,0.0,0.0,33.33
Josh Little,1,11.25,6.0,11.25,37.5
Kagiso Rabada,11,9.03,19.5,26.69,39.39
Karn Sharma,9,11.02,12.6,23.5,24.85
Kartik Tyagi,1,12.75,0.0,0.0,20.83
Keshav Maharaj,2,6.88,12.0,11.5,29.17
Khaleel Ahmed,14,9.88,16.36,23.64,42.66
