bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Abhishek Sharma,1.0,0,7,0,7.0,2,1,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,4,8.25,0.0,12.0,0.0,12.0,33.33,25.0
Abhishek Sharma,4.0,0,24,2,6.0,8,2,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,4,8.25,12.0,12.0,12.0,12.0,33.33,25.0
Abhishek Sharma,1.0,0,10,0,10.0,2,2,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,4,8.25,0.0,12.0,0.0,12.0,33.33,25.0
Abhishek Sharma,1.0,0,10,0,10.0,0,1,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,4,8.25,0.0,12.0,0.0,12.0,0.0,25.0
Aiden Markram,1.0,0,5,0,5.0,2,0,0,0,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2,7.5,0.0,0.0,0.0,0.0,33.33,33.33
Aiden Markram,1.0,0,10,0,10.0,2,0,1,0,1,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2,7.5,0.0,0.0,0.0,0.0,33.33,33.33
Akash Deep,3.3,0,55,1,15.71,6,2,6,2,0,https://www.espncricinfo.com/cricketers/akash-deep-1176959,1,15.71,19.8,19.8,55.0,55.0,30.3,30.3
Akash Madhwal,4.0,0,20,3,5.0,9,1,0,1,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,5,11.47,8.0,16.87,6.67,36.56,37.5,32.8
Akash Madhwal,4.0,0,57,1,14.25,7,9,2,3,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,5,11.47,24.0,16.87,57.0,36.56,29.17,32.8
Akash Madhwal,3.0,0,37,0,12.33,4,4,2,0,0,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,5,11.47,0.0,16.87,0.0,36.56,22.22,32.8
Akash Madhwal,4.0,0,45,0,11.25,9,7,1,0,1,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,5,11.47,0.0,16.87,0.0,36.56,37.5,32.8
Akash Madhwal,3.1,0,46,1,14.52,7,2,4,4,1,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039,5,11.47,18.6,16.87,46.0,36.56,37.63,32.8
Alzarri Joseph,3.4,0,38,0,10.36,5,1,2,4,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,3,12.7,0.0,24.0,0.0,43.0,24.51,33.17
Alzarri Joseph,2.0,0,34,0,17.0,5,2,4,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,3,12.7,0.0,24.0,0.0,43.0,41.67,33.17
Alzarri Joseph,4.0,0,43,1,10.75,8,4,2,2,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,3,12.7,24.0,24.0,43.0,43.0,33.33,33.17
Amit Mishra,2.0,0,20,1,10.0,5,1,2,0,0,https://www.espncricinfo.com/cricketers/amit-mishra-31107,1,10.0,12.0,12.0,20.0,20.0,41.67,41.67
Andre Russell,2.0,0,17,2,8.5,4,0,1,3,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,6.0,7.66,8.5,12.72,33.33,36.51
Andre Russell,2.0,0,25,2,12.5,4,4,1,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,6.0,7.66,12.5,12.72,33.33,36.51
Andre Russell,2.0,0,36,0,18.0,2,1,4,2,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,0.0,7.66,0.0,12.72,16.67,36.51
Andre Russell,1.3,0,15,1,10.0,2,2,0,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,7.8,7.66,15.0,12.72,25.64,36.51
Andre Russell,1.0,0,16,1,16.0,2,2,1,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,6.0,7.66,16.0,12.72,33.33,36.51
Andre Russell,4.0,0,30,2,7.5,11,1,2,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,12.0,7.66,15.0,12.72,45.83,36.51
Andre Russell,4.0,0,29,2,7.25,12,0,3,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,12.0,7.66,14.5,12.72,50.0,36.51
Andre Russell,1.0,0,10,0,10.0,3,2,0,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,0.0,7.66,0.0,12.72,50.0,36.51
Andre Russell,1.0,0,17,0,17.0,0,0,2,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,0.0,7.66,0.0,12.72,0.0,36.51
Andre Russell,3.0,0,34,2,11.33,5,3,2,2,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,9.0,7.66,17.0,12.72,27.78,36.51
Andre Russell,2.3,0,19,3,7.6,7,1,1,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,4.6,7.66,6.33,12.72,50.72,36.51
Andre Russell,1.2,0,14,1,10.5,4,0,2,0,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,7.2,7.66,14.0,12.72,55.56,36.51
Andre Russell,1.0,0,8,0,8.0,2,1,0,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,0.0,7.66,0.0,12.72,33.33,36.51
Andre Russell,3.0,0,25,3,8.33,10,3,1,1,0,https://www.espncricinfo.com/cricketers/andre-russell-276298,14,10.89,6.0,7.66,8.33,12.72,55.56,36.51
Anrich Nortje,4.0,0,48,1,12.0,8,4,4,0,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,6,13.35,24.0,15.5,48.0,37.04,33.33,30.56
Anrich Nortje,4.0,0,59,3,14.75,6,5,4,2,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,6,13.35,8.0,15.5,19.67,37.04,25.0,30.56
Anrich Nortje,3.0,0,31,0,10.33,6,4,1,1,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,6,13.35,0.0,15.5,0.0,37.04,33.33,30.56
Anrich Nortje,4.0,0,65,2,16.25,7,4,6,3,1,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,6,13.35,12.0,15.5,32.5,37.04,29.17,30.56
Anrich Nortje,3.0,0,48,1,16.0,6,5,4,0,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,6,13.35,18.0,15.5,48.0,37.04,33.33,30.56
Anrich Nortje,4.0,0,43,0,10.75,7,3,3,1,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,6,13.35,0.0,15.5,0.0,37.04,29.17,30.56
Anshul Kamboj,3.0,0,48,0,16.0,4,5,3,4,0,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428,3,11.5,0.0,21.0,0.0,33.0,22.22,32.87
Anshul Kamboj,4.0,0,42,1,10.5,9,3,2,1,2,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428,3,11.5,24.0,21.0,42.0,33.0,37.5,32.87
Anshul Kamboj,3.0,0,24,1,8.0,7,2,1,1,0,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428,3,11.5,18.0,21.0,24.0,33.0,38.89,32.87
Anukul Roy,2.0,0,6,0,3.0,7,0,0,0,0,https://www.espncricinfo.com/cricketers/anukul-roy-1079839,3,10.6,0.0,0.0,0.0,0.0,58.33,40.87
Anukul Roy,2.0,0,36,0,18.0,2,5,2,0,0,https://www.espncricinfo.com/cricketers/anukul-roy-1079839,3,10.6,0.0,0.0,0.0,0.0,16.67,40.87
Anukul Roy,1.4,0,18,0,10.8,4,4,0,0,0,https://www.espncricinfo.com/cricketers/anukul-roy-1079839,3,10.6,0.0,0.0,0.0,0.0,47.62,40.87
Arjun Tendulkar,2.2,0,22,0,9.42,7,1,2,1,0,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776,1,9.42,0.0,0.0,0.0,0.0,53.03,53.03
Arshad Khan,2.0,0,24,0,12.0,5,5,0,1,0,https://www.espncricinfo.com/cricketers/arshad-khan-1244751,4,10.81,0.0,18.0,0.0,45.0,41.67,41.35
Arshad Khan,3.1,0,34,0,10.73,7,4,2,0,0,https://www.espncricinfo.com/cricketers/arshad-khan-1244751,4,10.81,0.0,18.0,0.0,45.0,37.63,41.35
Arshad Khan,2.0,0,11,0,5.5,7,1,0,2,0,https://www.espncricinfo.com/cricketers/arshad-khan-1244751,4,10.81,0.0,18.0,0.0,45.0,58.33,41.35
Arshad Khan,3.0,0,45,1,15.0,5,5,2,5,0,https://www.espncricinfo.com/cricketers/arshad-khan-1244751,4,10.81,18.0,18.0,45.0,45.0,27.78,41.35
Arshdeep Singh,4.0,0,31,1,7.75,12,6,0,0,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,24.0,14.78,31.0,25.84,50.0,37.14
Arshdeep Singh,3.5,0,45,1,11.73,8,3,3,1,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,21.0,14.78,45.0,25.84,38.1,37.14
Arshdeep Singh,4.0,0,33,0,8.25,6,4,0,0,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,0.0,14.78,0.0,25.84,25.0,37.14
Arshdeep Singh,2.1,0,17,1,7.84,3,2,0,0,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,12.6,14.78,17.0,25.84,23.81,37.14
Arshdeep Singh,4.0,0,37,2,9.25,10,5,1,1,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,12.0,14.78,18.5,25.84,41.67,37.14
Arshdeep Singh,4.0,0,52,1,13.0,8,7,2,5,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,24.0,14.78,52.0,25.84,33.33,37.14
Arshdeep Singh,3.2,0,40,0,12.0,9,5,2,3,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,0.0,14.78,0.0,25.84,46.87,37.14
Arshdeep Singh,4.0,0,45,2,11.25,10,3,3,5,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,12.0,14.78,22.5,25.84,41.67,37.14
Arshdeep Singh,3.0,0,35,0,11.66,4,5,1,1,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,0.0,14.78,0.0,25.84,22.22,37.14
Arshdeep Singh,3.0,0,41,1,13.66,5,3,3,2,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,18.0,14.78,41.0,25.84,27.78,37.14
Arshdeep Singh,4.0,0,29,4,7.25,12,3,1,2,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,6.0,14.78,7.25,25.84,50.0,37.14
Arshdeep Singh,4.0,0,28,2,7.0,15,2,2,2,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,12.0,14.78,14.0,25.84,62.5,37.14
Arshdeep Singh,3.0,0,30,2,10.0,5,3,1,1,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,9.0,14.78,15.0,25.84,27.78,37.14
Arshdeep Singh,4.0,0,42,2,10.5,7,4,2,1,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,14,10.08,12.0,14.78,21.0,25.84,29.17,37.14
Atharva Taide,0.1,0,4,0,24.0,0,1,0,0,0,https://www.espncricinfo.com/cricketers/atharva-taide-1125958,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0
Avesh Khan,4.0,0,29,1,7.25,8,4,0,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,24.0,16.59,29.0,26.33,33.33,29.62
Avesh Khan,3.0,0,21,0,7.0,4,0,1,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,0.0,16.59,0.0,26.33,22.22,29.62
Avesh Khan,4.0,0,49,1,12.25,7,4,3,3,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,24.0,16.59,49.0,26.33,29.17,29.62
Avesh Khan,4.0,0,30,1,7.5,10,2,1,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,24.0,16.59,30.0,26.33,41.67,29.62
Avesh Khan,4.0,0,34,2,8.5,8,2,2,0,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,12.0,16.59,17.0,26.33,33.33,29.62
Avesh Khan,3.5,0,28,2,7.3,9,1,2,0,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,10.5,16.59,14.0,26.33,42.86,29.62
Avesh Khan,2.0,0,12,0,6.0,3,0,0,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,0.0,16.59,0.0,26.33,25.0,29.62
Avesh Khan,4.0,0,35,2,8.75,10,5,1,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,12.0,16.59,17.5,26.33,41.67,29.62
Avesh Khan,4.0,0,42,1,10.5,7,2,2,1,1,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,24.0,16.59,42.0,26.33,29.17,29.62
Avesh Khan,4.0,0,39,2,9.75,12,3,3,3,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,12.0,16.59,19.5,26.33,50.0,29.62
Avesh Khan,4.0,0,48,1,12.0,3,4,2,2,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,24.0,16.59,48.0,26.33,12.5,29.62
Avesh Khan,4.0,0,46,0,11.5,3,8,0,0,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,0.0,16.59,0.0,26.33,12.5,29.62
Avesh Khan,4.0,0,44,3,11.0,6,5,2,0,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,8.0,16.59,14.67,26.33,25.0,29.62
Avesh Khan,2.0,0,42,0,21.0,0,5,3,0,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,0.0,16.59,0.0,26.33,0.0,29.62
Avesh Khan,4.0,0,27,3,6.75,11,2,1,2,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,15,9.8,8.0,16.59,9.0,26.33,45.83,29.62
Axar Patel,4.0,0,35,2,8.75,8,3,2,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,12.0,17.33,17.5,21.11,33.33,29.07
Axar Patel,4.0,0,26,0,6.5,7,2,0,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,0.0,17.33,0.0,21.11,29.17,29.07
Axar Patel,1.0,0,20,1,20.0,2,2,2,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,6.0,17.33,20.0,21.11,33.33,29.07
Axar Patel,4.0,0,21,1,5.25,6,1,0,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,24.0,17.33,21.0,21.11,25.0,29.07
Axar Patel,3.0,0,25,1,8.33,9,2,2,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,18.0,17.33,25.0,21.11,50.0,29.07
Axar Patel,3.0,0,20,1,6.66,5,0,1,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,18.0,17.33,20.0,21.11,27.78,29.07
Axar Patel,3.0,0,24,0,8.0,5,0,2,0,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,14,9.06,0.0,17.33,0.0,21.11,27.78,29.07
