Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
PW Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,2021-2021,8,5,-,119,71,23.80,148.75,-,1,-
CN Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,2021-2021,3,3,-,57,35,19.00,100.00,-,-,-
MR Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,2021-2021,3,2,-,7,5,3.50,87.50,-,-,-
Afif Hossain,https://www.espncricinfo.com/cricketers/afif-hossain-935995,2021-2021,8,8,1,54,21,7.71,108.00,-,-,2
AC Agar,https://www.espncricinfo.com/cricketers/ashton-agar-505120,2021-2021,1,1,-,20,20,20.00,100.00,-,-,-
MM Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,2021-2021,6,4,2,92,51*,46.00,131.42,-,1,-
CJA Amini,https://www.espncricinfo.com/cricketers/charles-amini-332980,2021-2021,3,3,-,39,37,13.00,125.80,-,-,-
Aqib Ilyas,https://www.espncricinfo.com/cricketers/aqib-ilyas-940593,2021-2021,3,3,1,93,50*,46.50,110.71,-,1,-
KIC Asalanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,2021-2021,6,6,1,231,80*,46.20,147.13,-,2,-
Asghar Afghan,https://www.espncricinfo.com/cricketers/asghar-afghan-320652,2021-2021,3,2,-,41,31,20.50,136.66,-,-,-
R Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,2021-2021,3,-,-,-,-,0.00,0.00,-,-,-
Asif Ali,https://www.espncricinfo.com/cricketers/asif-ali-494230,2021-2021,6,4,3,57,27*,57.00,237.50,-,-,1
SK Atai,https://www.espncricinfo.com/cricketers/simon-atai-1115033,2021-2021,3,3,-,5,3,1.66,50.00,-,-,1
Ayaan Khan,https://www.espncricinfo.com/cricketers/ayaan-khan-956319,2021-2021,2,1,-,9,9,9.00,69.23,-,-,-
SJ Baard,https://www.espncricinfo.com/cricketers/stephan-baard-437927,2021-2021,5,5,-,97,29,19.40,94.17,-,-,-
Babar Azam,https://www.espncricinfo.com/cricketers/babar-azam-348144,2021-2021,6,6,1,303,70,60.60,126.25,-,4,-
JM Bairstow,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,2021-2021,6,6,2,47,16*,11.75,111.90,-,-,1
A Balbirnie,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,2021-2021,3,3,-,70,41,23.33,95.89,-,-,-
S Bau,https://www.espncricinfo.com/cricketers/sese-bau-420427,2021-2021,3,3,-,44,24,14.66,77.19,-,-,-
T Bavuma,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,2021-2021,5,4,1,91,46,30.33,108.33,-,-,-
RD Berrington,https://www.espncricinfo.com/cricketers/richie-berrington-25490,2021-2021,8,8,2,177,70,29.50,128.26,-,2,3
Bilal Khan,https://www.espncricinfo.com/cricketers/bilal-khan-937953,2021-2021,3,2,1,1,1,1.00,50.00,-,-,-
SW Billings,https://www.espncricinfo.com/cricketers/sam-billings-297628,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
K Birkenstock,https://www.espncricinfo.com/cricketers/karl-birkenstock-1057456,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
TA Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,2021-2021,7,-,-,-,-,0.00,0.00,-,-,-
DJ Bravo,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,2021-2021,5,5,1,26,10,6.50,92.85,-,-,-
DE Budge,https://www.espncricinfo.com/cricketers/dylan-budge-764321,2021-2021,1,1,-,-,-,0.00,0.00,-,-,1
JJ Bumrah,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,2021-2021,5,-,-,-,-,0.00,0.00,-,-,-
JC Buttler,https://www.espncricinfo.com/cricketers/jos-buttler-308967,2021-2021,6,6,3,269,101*,89.66,151.12,1,1,-
C Campher,https://www.espncricinfo.com/cricketers/curtis-campher-595921,2021-2021,3,3,1,35,24,17.50,87.50,-,-,-
RD Chahar,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
PVD Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,2021-2021,8,3,1,8,4,4.00,88.88,-,-,-
LD Chandimal,https://www.espncricinfo.com/cricketers/dinesh-chandimal-300628,2021-2021,2,2,-,11,6,5.50,61.11,-,-,-
RL Chase,https://www.espncricinfo.com/cricketers/roston-chase-391832,2021-2021,3,3,-,48,39,16.00,85.71,-,-,1
KJ Coetzer,https://www.espncricinfo.com/cricketers/kyle-coetzer-25446,2021-2021,7,7,-,84,41,12.00,102.43,-,-,1
DP Conway,https://www.espncricinfo.com/cricketers/devon-conway-379140,2021-2021,6,6,2,129,46,32.25,108.40,-,-,-
BN Cooper,https://www.espncricinfo.com/cricketers/ben-cooper-470699,2021-2021,2,2,-,9,9,4.50,100.00,-,-,1
MH Cross,https://www.espncricinfo.com/cricketers/matthew-cross-417268,2021-2021,8,8,1,135,45,19.28,80.35,-,-,1
PJ Cummins,https://www.espncricinfo.com/cricketers/pat-cummins-489889,2021-2021,7,1,-,12,12,12.00,400.00,-,-,-
JH Davey,https://www.espncricinfo.com/cricketers/josh-davey-407265,2021-2021,5,4,1,17,8,5.66,94.44,-,-,1
Q de Kock,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,2021-2021,4,4,-,69,34,17.25,107.81,-,-,-
GJ Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,2021-2021,3,3,-,55,44,18.33,107.84,-,-,-
BFW de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,2021-2021,3,2,-,7,7,3.50,50.00,-,-,1
K Doriga,https://www.espncricinfo.com/cricketers/kiplin-doriga-646173,2021-2021,3,3,1,64,46*,32.00,136.17,-,-,1
SA Edwards,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,2021-2021,3,3,1,29,21*,14.50,116.00,-,-,1
MG Erasmus,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,2021-2021,8,8,1,151,53*,21.57,104.86,-,1,-
AC Evans,https://www.espncricinfo.com/cricketers/alasdair-evans-399259,2021-2021,3,2,1,-,0*,0.00,0.00,-,-,1
Fakhar Zaman,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,2021-2021,6,5,1,109,55*,27.25,118.47,-,1,-
Fayyaz Butt,https://www.espncricinfo.com/cricketers/fayyaz-butt-436749,2021-2021,2,2,-,7,7,3.50,87.50,-,-,1
B Fernando,https://www.espncricinfo.com/cricketers/binura-fernando-629080,2021-2021,2,-,-,-,-,0.00,0.00,-,-,-
WIA Fernando,https://www.espncricinfo.com/cricketers/avishka-fernando-784369,2021-2021,8,7,2,52,30*,10.40,83.87,-,-,2
AJ Finch,https://www.espncricinfo.com/cricketers/aaron-finch-5334,2021-2021,7,7,-,135,44,19.28,116.37,-,-,2
JN Frylinck,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,2021-2021,7,4,1,25,15*,8.33,67.56,-,-,-
CH Gayle,https://www.espncricinfo.com/cricketers/chris-gayle-51880,2021-2021,5,5,-,45,15,9.00,91.83,-,-,-
BD Glover,https://www.espncricinfo.com/cricketers/brandon-glover-595419,2021-2021,2,2,-,-,-,0.00,0.00,-,-,2
CN Greaves,https://www.espncricinfo.com/cricketers/chris-greaves-873199,2021-2021,8,7,1,97,45,16.16,93.26,-,-,-
ZE Green,https://www.espncricinfo.com/cricketers/zane-green-596664,2021-2021,8,7,-,80,24,11.42,76.19,-,-,1
Gulbadin Naib,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,2021-2021,5,4,2,69,35*,34.50,107.81,-,-,-
MJ Guptill,https://www.espncricinfo.com/cricketers/martin-guptill-226492,2021-2021,7,7,-,208,93,29.71,120.93,-,1,-
Hamid Hassan,https://www.espncricinfo.com/cricketers/hamid-hassan-311427,2021-2021,3,-,-,-,-,0.00,0.00,-,-,-
Hamza Tahir,https://www.espncricinfo.com/cricketers/hamza-tahir-751151,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,2021-2021,6,-,-,-,-,0.00,0.00,-,-,-
Hasan Ali,https://www.espncricinfo.com/cricketers/hasan-ali-681305,2021-2021,6,-,-,-,-,0.00,0.00,-,-,-
JR Hazlewood,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,2021-2021,7,1,1,-,0*,0.00,0.00,-,-,-
Hazratullah Zazai,https://www.espncricinfo.com/cricketers/hazratullah-zazai-793457,2021-2021,5,5,-,92,44,18.40,113.58,-,-,1
RR Hendricks,https://www.espncricinfo.com/cricketers/reeza-hendricks-269280,2021-2021,4,4,-,56,39,14.00,101.81,-,-,-
SO Hetmyer,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025,2021-2021,5,5,1,127,81*,31.75,127.00,-,1,-
H Hiri,https://www.espncricinfo.com/cricketers/hiri-hiri-646175,2021-2021,1,1,-,8,8,8.00,53.33,-,-,-
JO Holder,https://www.espncricinfo.com/cricketers/jason-holder-391485,2021-2021,3,3,2,24,15*,24.00,218.18,-,-,-
AJ Hosein,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,2021-2021,5,3,3,7,6*,0.00,50.00,-,-,-
Imad Wasim,https://www.espncricinfo.com/cricketers/imad-wasim-227758,2021-2021,6,1,-,11,11,11.00,91.66,-,-,-
