Player Name,Role,Country,batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Chamika Karunaratne,Bowling Allrounder,Sri Lanka,Chamika Karunaratne,5.0,83.332,11.11111111111111,19.0,3.8,Chamika Karunaratne,8.0,7.42,15.98,16.0,42.72
Taskin Ahmed,Bowler,Bangladesh,Taskin Ahmed,3.0,49.29,0.0,10.0,3.333333333333333,Taskin Ahmed,6.0,6.68,14.78,19.75,57.68
Ruben Trumpelmann,Bowler,Namibia,Ruben Trumpelmann,4.0,133.32999999999998,52.56410256410256,32.0,8.0,Ruben Trumpelmann,8.0,7.72,12.67,16.56,44.27
Karim Janat,Bowling Allrounder,Afghanistan,Karim Janat,3.0,126.37666666666668,41.26984126984127,59.0,19.666666666666668,Karim Janat,4.0,7.62,6.0,7.0,31.25
Wanindu Hasaranga,Allrounder,Sri Lanka,Wanindu Hasaranga,5.0,142.592,56.87931510632423,119.0,23.8,Wanindu Hasaranga,8.0,5.27,11.71,8.74,44.1
Mitchell Marsh,Allrounder,Australia,Mitchell Marsh,5.0,166.31799999999998,62.17287429551581,185.0,37.0,Mitchell Marsh,3.0,9.11,0.0,0.0,24.07
Jos Buttler,Wicketkeeper,England,,,,,,,,,,,,
KL Rahul,Wicketkeeper Batter,India,KL Rahul,5.0,141.38,50.93848631239935,194.0,38.8,,,,,,
Charith Asalanka,Batting Allrounder,Sri Lanka,Charith Asalanka,6.0,133.33,66.71451914098972,231.0,38.5,Charith Asalanka,1.0,14.0,0.0,0.0,16.67
David Warner,Opening Batter,Australia,David Warner,7.0,126.91142857142856,58.10151106409104,289.0,41.285714285714285,,,,,,
Travis Head,Batter,Australia,,,,,,,,,,,,
