bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Adam Milne,6,7.04,24.0,26.0,45.14
Adam Zampa,7,6.05,16.97,17.9,41.47
Adil Rashid,6,6.14,17.46,20.0,45.01
Afif Hossain,2,12.5,0.0,0.0,8.33
Aiden Markram,3,6.78,0.0,0.0,42.59
Akeal Hosein,5,7.4,21.0,23.0,27.5
Alasdair Evans,3,11.78,18.0,22.0,30.56
Andre Russell,4,9.7,18.0,22.75,23.7
Anrich Nortje,5,5.28,15.68,14.93,57.29
Aqib Ilyas,3,7.33,0.0,0.0,30.56
Ashton Agar,1,5.62,14.4,15.0,48.61
Assad Vala,2,9.83,9.0,13.0,13.89
Bas de Leede,1,15.0,0.0,0.0,16.67
Ben Shikongo,1,9.5,0.0,0.0,8.33
Ben White,1,9.0,0.0,0.0,16.67
Bernard Scholtz,7,7.63,18.0,18.67,32.34
Bhuvneshwar Kumar,1,8.33,0.0,0.0,38.89
Bilal Khan,3,4.5,10.0,7.0,62.04
Binura Fernando,2,10.5,12.0,19.5,41.67
Brad Wheal,8,9.28,16.0,23.0,35.24
Brandon Glover,2,5.5,18.0,16.5,55.56
Chad Soper,2,9.62,8.0,8.0,35.42
Chamika Karunaratne,8,7.42,15.98,16.0,42.72
Charith Asalanka,1,14.0,0.0,0.0,16.67
Charles Amini,3,8.79,0.0,0.0,19.44
Chris Gayle,1,7.0,6.0,7.0,50.0
Chris Greaves,8,8.76,15.75,21.0,38.37
Chris Jordan,6,6.76,10.67,8.22,46.53
Chris Woakes,6,7.42,14.76,15.7,48.91
Colin Ackermann,1,10.66,18.0,32.0,50.0
Craig Young,2,7.71,0.0,0.0,39.84
Curtis Campher,3,6.89,7.5,6.75,36.57
Damien Ravu,2,9.66,12.0,20.0,34.72
Dasun Shanaka,5,8.2,9.0,12.0,23.33
David Wiese,8,7.41,21.6,27.0,37.5
Dushmantha Chameera,8,8.2,19.0,24.25,41.67
Dwaine Pretorius,5,6.98,9.25,9.33,38.92
Dwayne Bravo,4,8.56,24.0,39.0,32.29
Fayyaz Butt,2,8.08,13.0,18.0,40.97
Fred Klaassen,3,5.01,21.0,16.0,61.57
Gerhard Erasmus,3,5.83,24.0,22.0,37.5
Glenn Maxwell,6,7.83,18.0,15.0,40.51
Glenn Phillips,1,11.0,0.0,0.0,16.67
Gulbadin Naib,3,7.4,18.0,24.25,28.66
Hamid Hassan,3,5.14,8.0,3.0,54.63
Hamza Tahir,1,6.0,24.0,24.0,41.67
Hardik Pandya,2,10.0,0.0,0.0,20.83
Haris Rauf,6,7.44,20.4,23.9,38.89
Hasan Ali,6,8.98,21.0,28.75,35.65
Hayden Walsh,2,8.83,0.0,0.0,20.83
Imad Wasim,6,5.69,18.0,16.5,48.38
Ish Sodhi,7,8.13,15.0,18.42,32.14
JJ Smit,8,8.45,18.0,19.0,31.94
James Neesham,5,8.4,14.0,16.0,26.94
Jan Frylinck,7,8.09,13.6,16.0,35.3
Jan Nicol Loftie-Eaton,5,8.4,12.0,10.5,26.67
Jason Holder,3,9.25,24.0,22.0,36.11
Jasprit Bumrah,5,5.16,14.55,12.25,59.44
Josh Davey,5,7.03,15.24,19.46,35.93
Josh Hazlewood,7,7.18,8.0,7.15,51.79
Josh Little,3,4.92,15.0,9.88,59.72
Kabua Morea,3,7.75,9.0,10.38,43.06
Kagiso Rabada,5,8.28,16.0,19.42,44.17
Kaleemullah,2,6.92,10.5,12.25,51.39
Karim Janat,4,7.62,6.0,7.0,31.25
Karl Birkenstock,1,4.5,0.0,0.0,25.0
Keshav Maharaj,5,6.73,18.0,17.5,34.72
Kevin O'Brien,1,6.42,0.0,0.0,22.73
Khawar Ali,2,7.62,24.0,27.0,20.83
Kieron Pollard,3,11.67,0.0,0.0,11.11
Lahiru Kumara,7,7.68,12.98,11.71,44.68
Lega Siaka,2,8.25,0.0,0.0,33.33
Liam Livingstone,4,5.69,17.25,16.88,40.28
Logan van Beek,2,7.2,0.0,0.0,49.31
Mahedi Hasan,7,6.51,16.36,14.57,38.51
Maheesh Theekshana,7,5.21,6.33,5.17,43.45
Mahmudullah,1,10.5,0.0,0.0,16.67
Marcus Stoinis,1,11.66,0.0,0.0,16.67
Mark Adair,3,6.07,10.0,10.25,51.98
Mark Watt,8,6.38,22.29,20.43,40.62
Mark Wood,2,10.12,0.0,0.0,18.75
Michael Leask,6,9.3,7.5,6.25,34.72
Michael van Lingen,2,10.88,0.0,0.0,30.56
Mitchell Marsh,3,9.11,0.0,0.0,24.07
Mitchell Santner,7,7.42,24.0,26.5,31.75
Mitchell Starc,7,9.3,14.4,18.4,41.67
Moeen Ali,4,5.5,13.5,13.0,53.47
Mohammad Hafeez,4,9.5,12.0,16.0,33.33
Mohammad Nabi,5,8.4,24.0,36.0,40.83
Mohammad Nadeem,3,9.14,0.0,0.0,32.87
Mohammad Saifuddin,4,7.35,19.5,23.62,38.19
Mohammed Shami,5,8.99,7.0,7.83,38.65
Mujeeb Ur Rahman,3,5.42,17.6,16.33,52.78
Mustafizur Rahman,7,9.61,10.0,15.5,40.28
Nasum Ahmed,3,9.96,12.5,20.83,32.04
Naveen-ul-Haq,5,8.52,12.67,14.22,36.67
Nosaina Pokana,2,8.38,0.0,0.0,33.33
Obed McCoy,1,6.0,0.0,0.0,41.67
Pat Cummins,7,8.04,21.0,25.25,44.05
Paul Stirling,2,2.5,6.0,4.0,58.33
Paul van Meekeren,1,10.0,12.0,20.0,41.67
Pieter Seelaar,2,5.23,12.3,11.0,53.37
Pikky Ya France,3,6.17,0.0,0.0,47.22
Rahul Chahar,1,7.5,0.0,0.0,37.5
Rashid Khan,5,5.92,15.82,14.06,39.62
Ravi Rampaul,4,7.46,18.0,19.5,39.58
