Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Wanindu Hasaranga,"July 29, 1997, Galle",27y 101d,Right hand Bat,Legbreak,Allrounder,Sri Lanka
Colin Niel Ackermann,"April 04, 1991, George, South Africa",33y 217d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Netherlands
Mark Richard Adair,"March 27, 1996, Holywood, Northern Ireland",28y 225d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Ireland
Afif Hossain Dhrubo,"September 22, 1999, Khulna",25y 46d,Left hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Ashton Charles Agar,"October 14, 1993, Melbourne, Victoria",31y 24d,Left hand Bat,Slow Left arm Orthodox,Bowler,Australia
Moeen Munir Ali,"June 18, 1987, Birmingham",37y 142d,Left hand Bat,Right arm Offbreak,Batting Allrounder,England
Charles Jordan Alewa Amini,"April 14, 1992, Port Moresby",32y 207d,Left hand Bat,Legbreak,Allrounder,Papua New Guinea
Aqib Ilyas Sulehri,"September 05, 1992, Sialkot",32y 63d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,Oman
Charith Asalanka,"June 29, 1997, Elpitiya",27y 131d,Left hand Bat,Right arm Offbreak,Batting Allrounder,Sri Lanka
Mohammad Asghar Afghan,"December 26, 1987, Kabul, Afghanistan",36y 317d,Right hand Bat,Right arm Medium fast,Middle order Batter,Afghanistan
Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",38y 51d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Asif Ali,"October 01, 1991, Faisalabad, Punjab",33y 37d,Right hand Bat,Right arm Offbreak,Middle order Batter,Pakistan
Simon Kwalahu Atai,"September 19, 1999",25y 49d,Left hand Bat,,Wicketkeeper Batter,Papua New Guinea Under-19s
Ayaan Khan,"August 30, 1992, Bhopal, Madhya Pradesh",32y 69d,Left hand Bat,Slow Left arm Orthodox,Allrounder,Oman
Stephan Julian Baard,"April 29, 1992, Namibia",32y 192d,Right hand Bat,Right arm Medium fast,Batter,Namibia
Mohammad Babar Azam,"October 15, 1994, Lahore, Punjab",30y 23d,Right hand Bat,Right arm Offbreak,Batter,Pakistan
Jonathan Marc Bairstow,"September 26, 1989, Bradford, Yorkshire",35y 42d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,England
Andrew Balbirnie,"December 28, 1990, Dublin, Ireland",33y 315d,Right hand Bat,Right arm Offbreak,Batter,Ireland
Sese Bau,"June 23, 1992",32y 137d,Left hand Bat,Right arm Offbreak,Middle order Batter,Papua New Guinea
Temba Bavuma,"May 17, 1990, Cape Town, Cape Province",34y 174d,Right hand Bat,Right arm Medium,Middle order Batter,South Africa
Richard Douglas Berrington,"April 03, 1987, Pretoria, South Africa",37y 218d,Right hand Bat,Right arm Medium fast,Top order Batter,Scotland
Bilal Khan,"April 10, 1987, Peshawar",37y 211d,Left hand Bat,Left arm Medium fast,Bowler,Oman
Samuel William Billings,"June 15, 1991, Pembury, Kent",33y 145d,Right hand Bat,,Wicketkeeper Batter,England
Karl Johan Birkenstock,"March 27, 1996, Centurion",28y 225d,Left hand Bat,Right arm Fast medium,Middle order Batter,Namibia
Trent Alexander Boult,"July 22, 1989, Rotorua",35y 108d,Right hand Bat,Left arm Fast medium,Bowler,New Zealand
Dwayne John Bravo,"October 07, 1983, Santa Cruz, Trinidad",41y 31d,Right hand Bat,Right arm Medium,Allrounder,West Indies
Dylan Evers Budge,"September 11, 1995, Leeds, Yorkshire",29y 57d,Right hand Bat,Right arm Medium,Allrounder,Scotland XI
Jasprit Jasbirsingh Bumrah,"December 06, 1993, Ahmedabad",30y 337d,Right hand Bat,Right arm Fast,Bowler,India
Jos Buttler,"September 08, 1990, Taunton, Somerset",34y 60d,Right hand Bat,,Wicketkeeper Batter,England
Curtis Campher,"April 20, 1999, Johannesburg",25y 201d,Right hand Bat,Right arm Medium fast,Allrounder,Ireland
Rahul Desraj Chahar,"August 04, 1999, Bharaatpur, Rajasthan",25y 95d,Right hand Bat,Legbreak Googly,Bowler,India
