bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Adam Milne,4.0,0,30,1,7.5,10,3,1,1,0,scorecard,6,7.04,24.0,24.0,30.0,26.0,41.67,45.14
Adam Milne,4.0,1,36,0,9.0,10,7,0,0,0,scorecard,6,7.04,0.0,24.0,0.0,26.0,41.67,45.14
Adam Milne,4.0,0,25,0,6.25,14,3,1,0,0,scorecard,6,7.04,0.0,24.0,0.0,26.0,58.33,45.14
Adam Milne,4.0,0,30,0,7.5,12,4,1,1,0,scorecard,6,7.04,0.0,24.0,0.0,26.0,50.0,45.14
Adam Milne,4.0,0,17,1,4.25,12,1,0,0,0,scorecard,6,7.04,24.0,24.0,17.0,26.0,50.0,45.14
Adam Milne,4.0,0,31,1,7.75,7,0,2,1,0,scorecard,6,7.04,24.0,24.0,31.0,26.0,29.17,45.14
Adam Zampa,3.0,0,37,1,12.33,5,1,4,0,0,scorecard,7,6.05,18.0,16.97,37.0,17.9,27.78,41.47
Adam Zampa,4.0,0,22,1,5.5,9,0,1,1,0,scorecard,7,6.05,24.0,16.97,22.0,17.9,37.5,41.47
Adam Zampa,4.0,0,26,1,6.5,7,1,1,0,0,scorecard,7,6.05,24.0,16.97,26.0,17.9,29.17,41.47
Adam Zampa,4.0,0,12,2,3.0,12,0,0,0,0,scorecard,7,6.05,12.0,16.97,6.0,17.9,50.0,41.47
Adam Zampa,4.0,0,20,1,5.0,11,2,0,1,0,scorecard,7,6.05,24.0,16.97,20.0,17.9,45.83,41.47
Adam Zampa,4.0,0,21,2,5.25,10,1,0,0,0,scorecard,7,6.05,12.0,16.97,10.5,17.9,41.67,41.47
Adam Zampa,4.0,0,19,5,4.75,14,0,1,1,0,scorecard,7,6.05,4.8,16.97,3.8,17.9,58.33,41.47
Adil Rashid,2.2,0,2,4,0.85,12,0,0,0,0,scorecard,6,6.14,3.3,17.46,0.5,20.0,90.91,45.01
Adil Rashid,4.0,0,39,1,9.75,7,2,3,0,0,scorecard,6,6.14,24.0,17.46,39.0,20.0,29.17,45.01
Adil Rashid,4.0,0,19,2,4.75,12,1,0,0,0,scorecard,6,6.14,12.0,17.46,9.5,20.0,50.0,45.01
Adil Rashid,4.0,0,19,1,4.75,12,2,0,0,0,scorecard,6,6.14,24.0,17.46,19.0,20.0,50.0,45.01
Adil Rashid,4.0,0,35,0,8.75,8,3,2,0,0,scorecard,6,6.14,0.0,17.46,0.0,20.0,33.33,45.01
Adil Rashid,4.0,0,32,1,8.0,4,2,1,0,0,scorecard,6,6.14,24.0,17.46,32.0,20.0,16.67,45.01
