Player,Bowler Link,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
PW Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,2022-2022,8,8,186,1,199,15,3/8,13.26,6.41,12.4,-,-,3,-
Aayan Afzal Khan,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,2022-2022,3,3,48,-,38,2,1/15,19.00,4.75,24.0,-,-,-,-
CN Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,2022-2022,8,3,42,-,37,1,1/17,37.00,5.28,42.0,-,-,2,-
MR Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,2022-2022,7,7,144,-,212,4,2/39,53.00,8.83,36.0,-,-,7,-
Afif Hossain,https://www.espncricinfo.com/cricketers/afif-hossain-935995,2022-2022,5,1,6,-,11,1,1/11,11.00,11.00,6.0,-,-,2,-
AC Agar,https://www.espncricinfo.com/cricketers/ashton-agar-505120,2022-2022,1,1,24,-,25,1,1/25,25.00,6.25,24.0,-,-,-,-
Ahmed Raza,https://www.espncricinfo.com/cricketers/ahmed-raza-245490,2022-2022,1,1,6,-,9,-,-,0.00,9.00,-,-,-,1,-
MM Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,2022-2022,6,2,12,-,9,-,-,0.00,4.50,-,-,-,1,-
FH Allen,https://www.espncricinfo.com/cricketers/finn-allen-959759,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,5,-
V Aravind,https://www.espncricinfo.com/cricketers/vriitya-aravind-1178586,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,2022-2022,6,6,120,-,156,10,3/32,15.60,7.80,12.0,-,-,1,-
Aryan Lakra,https://www.espncricinfo.com/cricketers/aryan-lakra-1058989,2022-2022,1,1,18,-,24,1,1/24,24.00,8.00,18.0,-,-,-,-
KIC Asalanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,2022-2022,7,1,6,-,8,-,-,0.00,8.00,-,-,-,1,-
R Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,2022-2022,6,6,114,-,155,6,3/22,25.83,8.15,19.0,-,-,-,-
Asif Ali,https://www.espncricinfo.com/cricketers/asif-ali-494230,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,2022-2022,2,2,19,-,28,-,-,0.00,8.84,-,-,-,1,-
SJ Baard,https://www.espncricinfo.com/cricketers/stephan-baard-437927,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-
Babar Azam,https://www.espncricinfo.com/cricketers/babar-azam-348144,2022-2022,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-
A Balbirnie,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,2022-2022,7,-,0,-,-,-,-,0.00,-,-,-,-,-,-
KNA Bandara,https://www.espncricinfo.com/cricketers/ashen-bandara-958691,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Basil Hameed,https://www.espncricinfo.com/cricketers/basil-hameed-1209110,2022-2022,3,3,30,-,37,3,2/17,12.33,7.40,10.0,-,-,2,-
T Bavuma,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-
RD Berrington,https://www.espncricinfo.com/cricketers/richie-berrington-25490,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
TA Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,2022-2022,5,5,120,-,148,8,4/13,18.50,7.40,15.0,-,-,2,-
HC Brook,https://www.espncricinfo.com/cricketers/harry-brook-911707,2022-2022,6,-,0,-,-,-,-,0.00,-,-,-,-,-,-
SSJ Brooks,https://www.espncricinfo.com/cricketers/shamarh-brooks-230555,2022-2022,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-
RP Burl,https://www.espncricinfo.com/cricketers/ryan-burl-495964,2022-2022,8,3,30,-,48,-,-,0.00,9.60,-,-,-,4,-
JC Buttler,https://www.espncricinfo.com/cricketers/jos-buttler-308967,2022-2022,6,-,0,-,-,-,-,0.00,-,-,-,-,9,-
C Campher,https://www.espncricinfo.com/cricketers/curtis-campher-595921,2022-2022,7,4,48,-,74,2,2/9,37.00,9.25,24.0,-,-,1,-
RW Chakabva,https://www.espncricinfo.com/cricketers/regis-chakabva-293831,2022-2022,8,-,0,-,-,-,-,0.00,-,-,-,-,4,1
PVD Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,2022-2022,2,2,47,-,54,4,3/15,13.50,6.89,11.7,-,-,-,-
MS Chapman,https://www.espncricinfo.com/cricketers/mark-chapman-438563,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
J Charles,https://www.espncricinfo.com/cricketers/johnson-charles-333066,2022-2022,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
TL Chatara,https://www.espncricinfo.com/cricketers/tendai-chatara-425639,2022-2022,7,7,138,1,155,4,2/14,38.75,6.73,34.5,-,-,2,-
Chirag Suri,https://www.espncricinfo.com/cricketers/chirag-suri-534734,2022-2022,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-
DP Conway,https://www.espncricinfo.com/cricketers/devon-conway-379140,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,4,2
TLW Cooper,https://www.espncricinfo.com/cricketers/tom-cooper-219885,2022-2022,8,-,0,-,-,-,-,0.00,-,-,-,-,2,-
MH Cross,https://www.espncricinfo.com/cricketers/matthew-cross-417268,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,3,-
PJ Cummins,https://www.espncricinfo.com/cricketers/pat-cummins-489889,2022-2022,4,4,96,-,132,3,2/28,44.00,8.25,32.0,-,-,3,-
SM Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,2022-2022,6,6,136,-,148,13,5/10,11.38,6.52,10.4,1,-,5,-
Darwish Rasooli,https://www.espncricinfo.com/cricketers/darwish-rasooli-819441,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-
JH Davey,https://www.espncricinfo.com/cricketers/josh-davey-407265,2022-2022,3,3,60,-,96,3,2/16,32.00,9.60,20.0,-,-,1,-
TH David,https://www.espncricinfo.com/cricketers/tim-david-892749,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-
Q de Kock,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,6,1
GJ Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,2022-2022,7,7,141,-,185,6,3/16,30.83,7.87,23.5,-,-,3,-
BFW de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,2022-2022,8,7,132,-,169,13,3/19,13.00,7.68,10.1,-,-,4,-
DM de Silva,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,2022-2022,8,6,73,-,83,6,2/24,13.83,6.82,12.1,-,-,4,-
GH Dockrell,https://www.espncricinfo.com/cricketers/george-dockrell-348034,2022-2022,7,4,48,-,56,1,1/5,56.00,7.00,48.0,-,-,3,-
Ebadot Hossain,https://www.espncricinfo.com/cricketers/ebadot-hossain-932355,2022-2022,1,1,19,-,25,1,1/25,25.00,7.89,19.0,-,-,-,-
