batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch (c),3,111.72000000000001,52.19845865007156,107,35.666666666666664
Aayan Afzal Khan,2,80.945,10.526315789473683,24,12.0
Adam Zampa,2,50.0,0.0,1,0.5
Afif Hossain,5,98.674,27.422867513611617,95,19.0
Aiden Markram,4,122.8325,56.18778280542986,99,24.75
Akeal Hosein,2,113.88499999999999,17.391304347826086,24,12.0
Alex Hales,6,125.77166666666666,48.98145098215412,212,35.333333333333336
Alishan Sharafu,1,100.0,0.0,4,4.0
Alzarri Joseph,1,0.0,,0,0.0
Andy Balbirnie (c),7,101.44857142857143,49.97669163567781,153,21.857142857142858
Anrich Nortje,2,210.0,50.0,5,2.5
Arshdeep Singh,1,200.0,0.0,2,2.0
Aryan Lakra,1,33.33,0.0,1,1.0
Asif Ali,1,66.66,0.0,2,2.0
Axar Patel,3,61.10666666666666,28.57142857142857,9,3.0
Azmatullah Omarzai,2,104.165,25.0,11,5.5
Babar Azam (c),7,68.66571428571429,51.638364779874216,124,17.714285714285715
Barry McCarthy,5,100.07000000000001,14.545454545454547,36,7.2
Bas de Leede,8,67.38875,37.142857142857146,93,11.625
Basil Hameed,3,103.96666666666665,60.0,31,10.333333333333334
Ben Stokes,5,92.412,13.80952380952381,110,22.0
Bernard Scholtz,1,100.0,0.0,1,1.0
Bhanuka Rajapaksa,7,118.14142857142858,47.29263954385582,125,17.857142857142858
Bhuvneshwar Kumar,1,66.66,0.0,4,4.0
Blessing Muzarabani,4,12.5,0.0,2,0.5
Brad Evans,2,113.33,15.789473684210526,21,10.5
Brandon King,2,121.245,59.4876660341556,79,39.5
CP Rizwan (c),3,77.2,13.953488372093025,45,15.0
Calum MacLeod,3,86.81,42.78260869565217,48,16.0
Cameron Green,1,150.0,0.0,3,3.0
Chamika Karunaratne,6,78.78666666666668,21.428571428571427,32,5.333333333333333
Charith Asalanka,7,91.52285714285715,24.787775891341255,131,18.714285714285715
Chirag Suri,2,66.84,59.52380952380952,26,13.0
Chris Greaves,2,94.14999999999999,25.0,19,9.5
Chris Woakes,1,166.66,80.0,5,5.0
Colin Ackermann,8,72.15875,32.21492577565455,165,20.625
Craig Ervine (c),7,77.38142857142857,41.352497069375474,112,16.0
Curtis Campher,6,110.22500000000001,38.835978835978835,126,21.0
Danushka Gunathilaka,1,0.0,,0,0.0
Darwish Rasooli,1,115.38,26.666666666666668,15,15.0
Daryl Mitchell,4,112.6725,14.942178940961655,109,27.25
Dasun Shanaka (c),7,70.42142857142856,37.22660098522167,78,11.142857142857142
David Miller,3,92.75333333333333,27.05217680292456,78,26.0
David Warner,4,93.765,40.0,44,11.0
David Wiese,3,124.25666666666666,45.45454545454545,66,22.0
Dawid Malan,3,151.53,7.6190476190476195,56,18.666666666666668
Deepak Hooda,1,0.0,,0,0.0
Devon Conway †,5,81.35799999999999,25.838509316770182,145,29.0
Dhananjaya de Silva,8,92.7775,38.956563150111535,177,22.125
Dinesh Karthik †,3,76.66666666666667,19.047619047619047,14,4.666666666666667
Divan la Cock,2,50.0,44.44444444444444,9,4.5
Dushmantha Chameera,2,76.66499999999999,0.0,9,4.5
Evin Lewis,3,87.74666666666667,32.6984126984127,42,14.0
Fakhar Zaman,1,125.0,60.0,20,20.0
Fareed Ahmad,1,50.0,0.0,2,2.0
Fazalhaq Farooqi,1,0.0,,0,0.0
Finn Allen,5,150.47600000000003,61.845238095238095,95,19.0
Fionn Hand,3,105.55333333333333,48.888888888888886,12,4.0
Fred Klaassen,4,54.165,0.0,10,2.5
Gareth Delany,5,131.0,51.317460317460316,69,13.8
George Dockrell,6,84.21166666666666,39.646042363433665,100,16.666666666666668
George Munsey,3,93.46666666666665,35.46576879910213,121,40.333333333333336
Gerhard Erasmus (c),3,87.02999999999999,16.666666666666668,52,17.333333333333332
Glenn Maxwell,4,161.2125,66.01568721133938,118,29.5
Glenn Phillips,5,143.72,66.41268914513697,201,40.2
Gulbadin Naib,2,127.63499999999999,30.76923076923077,51,25.5
Haider Ali,2,25.0,0.0,2,1.0
Hardik Pandya,5,109.798,31.492063492063494,128,25.6
Haris Rauf,3,133.33333333333334,33.333333333333336,10,3.3333333333333335
Harry Brook,5,120.53,25.58730158730159,56,11.2
Harry Tector,6,66.36833333333334,25.26984126984127,68,11.333333333333334
Hasan Mahmud,2,0.0,,0,0.0
Hazratullah Zazai,1,41.17,57.14285714285714,7,7.0
Heinrich Klaasen,2,141.66,54.285714285714285,36,18.0
Ibrahim Zadran,3,100.33333333333333,44.157925407925404,80,26.666666666666668
Iftikhar Ahmed,7,71.29142857142857,37.96078431372549,114,16.285714285714285
Ish Sodhi,2,100.0,0.0,7,3.5
JJ Smit,3,139.58333333333334,48.17204301075268,39,13.0
James Neesham,5,119.16600000000001,34.455128205128204,53,10.6
Jan Frylinck,3,109.69,29.396959629517767,101,33.666666666666664
Jan Nicol Loftie-Eaton,3,61.10666666666666,40.0,21,7.0
Jason Holder,2,124.24000000000001,28.947368421052634,42,21.0
Johnson Charles,2,129.16500000000002,64.16666666666667,69,34.5
Jos Buttler (c)†,6,115.54,61.63839128907622,225,37.5
Josh Davey,1,133.33,0.0,4,4.0
Josh Hazlewood,1,100.0,0.0,1,1.0
Josh Little,4,70.9075,44.047619047619044,16,4.0
Junaid Siddique,2,56.25,55.55555555555556,18,9.0
KL Rahul,6,98.54,53.655773420479306,128,21.333333333333332
Kagiso Rabada,2,81.25,0.0,10,5.0
Kane Richardson,1,100.0,0.0,1,1.0
Kane Williamson (c),5,109.066,41.50249465431219,178,35.6
Karthik Meiyappan,2,25.0,0.0,4,2.0
Kashif Daud,2,53.57,40.0,15,7.5
Kasun Rajitha,1,38.09,0.0,8,8.0
Keshav Maharaj,1,108.33,46.15384615384615,13,13.0
Kusal Mendis †,8,126.74375,56.896686522710354,223,27.875
Kyle Mayers,3,94.05666666666667,50.51282051282052,34,11.333333333333334
Lahiru Kumara,1,80.0,100.0,4,4.0
Liam Livingstone,5,99.52000000000001,18.275862068965516,55,11.0
Litton Das,5,131.072,50.358543417366946,127,25.4
Logan van Beek,4,66.66499999999999,0.0,15,3.75
Lorcan Tucker †,7,114.82714285714285,44.181117602824315,204,29.142857142857142
Luke Jongwe,4,101.7025,40.689655172413794,55,13.75
Lungi Ngidi,1,400.0,100.0,4,4.0
Maheesh Theekshana,3,33.333333333333336,54.54545454545454,11,3.6666666666666665
Marcus Stoinis,4,159.2025,46.8910411622276,126,31.5
Mark Adair,5,74.0,25.757575757575758,28,5.6
Matthew Cross †,3,69.20333333333333,23.80952380952381,32,10.666666666666666
Matthew Wade (c)†,1,75.0,66.66666666666666,6,6.0
Matthew Wade †,2,141.66500000000002,28.57142857142857,9,4.5
Max O'Dowd,8,110.92875000000001,52.94336367646544,242,30.25
Mehidy Hasan Miraz,1,84.61,0.0,11,11.0
Michael Jones,3,118.0,71.93798449612403,110,36.666666666666664
Michael Leask,3,110.25,37.908496732026144,33,11.0
Michael van Lingen,3,93.42,33.333333333333336,33,11.0
Milton Shumba,7,75.21285714285715,24.20634920634921,65,9.285714285714286
Mitchell Marsh,4,127.65,67.77135854341736,106,26.5
Mitchell Santner,3,126.66666666666667,46.022727272727266,27,9.0
Mitchell Starc,1,57.14,0.0,4,4.0
Moeen Ali,5,105.896,27.63157894736842,57,11.4
Mohammad Haris,4,152.2,60.284178187403995,97,24.25
Mohammad Nabi (c),3,90.83333333333333,10.256410256410257,17,5.666666666666667
Mohammad Nawaz,5,101.454,42.58297258297258,68,13.6
Mohammad Rizwan †,7,98.02285714285715,61.583231036775615,175,25.0
Mohammad Wasim,3,47.43333333333334,33.33333333333333,16,5.333333333333333
Mohammed Shami,1,0.0,,0,0.0
Mosaddek Hossain,5,96.422,42.5,38,7.6
Muhammad Waseem,3,86.39333333333333,27.67479674796748,93,31.0
Mujeeb Ur Rahman,2,25.0,0.0,1,0.5
Mustafizur Rahman,2,150.0,66.66666666666666,9,4.5
Najibullah Zadran,3,76.89333333333333,34.18803418803419,31,10.333333333333334
Najmul Hossain Shanto,5,110.11800000000001,51.16053357180117,180,36.0
Naseem Shah,1,166.66,0.0,5,5.0
Nasum Ahmed,1,116.66,57.14285714285714,7,7.0
Naveen-ul-Haq,1,0.0,,0,0.0
Nicholas Pooran (c)†,3,83.83333333333333,15.384615384615385,25,8.333333333333334
Nurul Hasan †,5,76.824,14.000000000000002,41,8.2
Obed McCoy,1,66.66,0.0,2,2.0
Odean Smith,3,90.27666666666669,28.07017543859649,25,8.333333333333334
Pat Cummins,2,58.33,66.66666666666666,21,10.5
Pathum Nissanka,7,88.25,48.777775643447285,214,30.571428571428573
Paul Stirling,7,117.52428571428571,63.37294131411778,170,24.285714285714285
Paul van Meekeren,4,126.1875,53.57142857142858,45,11.25
Phil Salt,1,111.11,80.0,10,10.0
Pramod Madushan,2,50.0,0.0,1,0.5
Quinton de Kock †,5,112.04400000000001,57.69750344218429,124,24.8
Rahmanullah Gurbaz †,3,134.74666666666667,66.03174603174602,68,22.666666666666668
Rashid Khan,3,107.06333333333333,59.72222222222222,57,19.0
Ravichandran Ashwin,4,95.0725,25.641025641025646,21,5.25
Regis Chakabva (c)†,1,144.44,92.3076923076923,13,13.0
Regis Chakabva †,7,49.074285714285715,63.75,32,4.571428571428571
Richard Ngarava,5,112.38,33.33333333333333,21,4.2
Richie Berrington (c),3,112.65666666666668,28.716216216216214,66,22.0
Rilee Rossouw,4,110.7175,62.47968545216251,141,35.25
Rishabh Pant †,2,105.0,33.33333333333333,9,4.5
Roelof van der Merwe,4,20.8325,0.0,5,1.25
Rohit Sharma (c),6,89.495,40.56836710924761,116,19.333333333333332
Rovman Powell,3,97.22000000000001,41.269841269841265,39,13.0
Ruben Trumpelmann,1,104.16,40.0,25,25.0
Ryan Burl,7,93.82714285714285,34.45289226801832,101,14.428571428571429
Sam Curran,2,127.27,50.0,12,6.0
Scott Edwards (c)†,8,87.89,31.934523809523807,91,11.375
Sean Williams,8,95.41875,29.51403435274403,155,19.375
Shadab Khan,6,130.66,64.90497737556561,98,16.333333333333332
Shaheen Shah Afridi,3,155.5533333333333,47.5,22,7.333333333333333
Shakib Al Hasan (c),5,65.22,19.732441471571907,44,8.8
Shamarh Brooks,2,22.22,0.0,4,2.0
Shan Masood,7,104.29142857142857,19.41567204725099,175,25.0
Shariz Ahmad,2,128.975,47.22222222222222,25,12.5
Sikandar Raza,8,110.53875,57.85712387936204,219,27.375
Simi Singh,2,43.75,57.14285714285714,7,3.5
Soumya Sarkar,4,116.91,62.38095238095238,49,12.25
Stephan Baard,3,87.11666666666667,43.58974358974359,49,16.333333333333332
Stephan Myburgh,3,97.38333333333333,72.44744744744744,51,17.0
Steven Smith,1,100.0,100.0,4,4.0
Suryakumar Yadav,6,182.58333333333334,64.20252253907027,239,39.833333333333336
Tabraiz Shamsi,1,100.0,0.0,1,1.0
