bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Aayan Afzal Khan,3.0,0,15,1,5.0,8,1,0,0,0,3,4.61,18.0,18.0,15.0,15.5,44.44,41.67
Aayan Afzal Khan,2.0,0,7,0,3.5,5,0,0,0,0,3,4.61,0.0,18.0,0.0,15.5,41.67,41.67
Aayan Afzal Khan,3.0,0,16,1,5.33,7,1,0,0,0,3,4.61,18.0,18.0,16.0,15.5,38.89,41.67
Adam Zampa,4.0,0,19,2,4.75,9,1,0,0,0,3,6.67,12.0,16.0,9.5,19.83,37.5,33.33
Adam Zampa,4.0,0,39,1,9.75,4,2,2,1,0,3,6.67,24.0,16.0,39.0,19.83,16.67,33.33
Adam Zampa,4.0,0,22,2,5.5,11,1,0,0,0,3,6.67,12.0,16.0,11.0,19.83,45.83,33.33
Adil Rashid,4.0,0,33,0,8.25,6,0,2,0,0,6,6.12,0.0,20.0,0.0,15.67,25.0,31.25
Adil Rashid,4.0,1,22,2,5.5,10,1,0,1,0,6,6.12,12.0,20.0,11.0,15.67,41.67,31.25
Adil Rashid,4.0,0,32,0,8.0,4,1,1,0,0,6,6.12,0.0,20.0,0.0,15.67,16.67,31.25
Adil Rashid,4.0,0,16,1,4.0,11,0,0,0,0,6,6.12,24.0,20.0,16.0,15.67,45.83,31.25
Adil Rashid,4.0,0,24,0,6.0,6,1,0,0,0,6,6.12,0.0,20.0,0.0,15.67,25.0,31.25
Adil Rashid,4.0,0,20,1,5.0,8,1,0,0,0,6,6.12,24.0,20.0,20.0,15.67,33.33,31.25
Afif Hossain,1.0,0,11,1,11.0,1,2,0,0,0,1,11.0,6.0,6.0,11.0,11.0,16.67,16.67
Ahmed Raza,1.0,0,9,0,9.0,1,1,0,0,0,1,9.0,0.0,0.0,0.0,0.0,16.67,16.67
Aiden Markram,2.0,0,16,1,8.0,3,0,1,1,0,2,6.5,12.0,12.0,16.0,16.0,25.0,20.83
Aiden Markram,1.0,0,5,0,5.0,1,0,0,0,0,2,6.5,0.0,12.0,0.0,16.0,16.67,20.83
Akeal Hosein,4.0,0,25,1,6.25,12,1,1,1,1,3,7.83,24.0,24.0,25.0,31.5,50.0,34.72
Akeal Hosein,4.0,0,31,0,7.75,8,2,1,0,0,3,7.83,0.0,24.0,0.0,31.5,33.33,34.72
Akeal Hosein,4.0,0,38,1,9.5,5,2,2,0,0,3,7.83,24.0,24.0,38.0,31.5,20.83,34.72
Alzarri Joseph,4.0,0,39,0,9.75,9,3,2,1,0,3,6.92,0.0,9.0,0.0,9.0,37.5,47.22
Alzarri Joseph,4.0,0,28,2,7.0,9,3,0,2,0,3,6.92,12.0,9.0,14.0,9.0,37.5,47.22
Alzarri Joseph,4.0,0,16,4,4.0,16,1,1,0,0,3,6.92,6.0,9.0,4.0,9.0,66.67,47.22
Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0,5,5.27,4.95,14.19,2.5,11.15,80.81,55.33
Anrich Nortje,4.0,0,41,4,10.25,11,1,4,0,1,5,5.27,6.0,14.19,10.25,11.15,45.83,55.33
Anrich Nortje,4.0,0,23,1,5.75,12,1,1,0,0,5,5.27,24.0,14.19,23.0,11.15,50.0,55.33
Anrich Nortje,4.0,0,10,1,2.5,14,0,0,0,0,5,5.27,24.0,14.19,10.0,11.15,58.33,55.33
Anrich Nortje,2.0,0,10,1,5.0,5,0,0,0,0,5,5.27,12.0,14.19,10.0,11.15,41.67,55.33
Arshdeep Singh,2.0,0,9,1,4.5,9,1,0,2,0,6,7.5,12.0,11.2,9.0,13.93,75.0,47.22
Arshdeep Singh,4.0,0,38,2,9.5,10,5,1,0,0,6,7.5,12.0,11.2,19.0,13.93,41.67,47.22
Arshdeep Singh,4.0,0,32,3,8.0,10,3,1,1,0,6,7.5,8.0,11.2,10.67,13.93,41.67,47.22
Arshdeep Singh,4.0,0,25,2,6.25,13,4,0,1,0,6,7.5,12.0,11.2,12.5,13.93,54.17,47.22
Arshdeep Singh,4.0,0,37,2,9.25,9,6,0,1,1,6,7.5,12.0,11.2,18.5,13.93,37.5,47.22
Arshdeep Singh,2.0,0,15,0,7.5,4,2,0,1,0,6,7.5,0.0,11.2,0.0,13.93,33.33,47.22
Aryan Lakra,3.0,0,24,1,8.0,5,3,0,0,0,1,8.0,18.0,18.0,24.0,24.0,27.78,27.78
Ashton Agar,4.0,0,25,1,6.25,8,1,0,1,0,1,6.25,24.0,24.0,25.0,25.0,33.33,33.33
Axar Patel,3.2,0,40,1,12.0,4,5,1,0,0,5,10.2,19.2,15.6,40.0,24.5,20.83,35.0
Axar Patel,1.0,0,21,0,21.0,2,0,3,0,0,5,10.2,0.0,15.6,0.0,24.5,33.33,35.0
Axar Patel,1.0,0,6,0,6.0,2,0,0,0,0,5,10.2,0.0,15.6,0.0,24.5,33.33,35.0
Axar Patel,4.0,0,18,2,4.5,11,0,0,0,0,5,10.2,12.0,15.6,9.0,24.5,45.83,35.0
Axar Patel,4.0,0,30,0,7.5,10,2,2,0,0,5,10.2,0.0,15.6,0.0,24.5,41.67,35.0
Azmatullah Omarzai,2.0,0,17,0,8.5,2,1,0,1,0,2,8.96,0.0,0.0,0.0,0.0,16.67,23.48
Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,2,8.96,0.0,0.0,0.0,0.0,30.3,23.48
Barry McCarthy,4.0,0,59,0,14.75,4,6,3,1,1,7,8.92,0.0,16.67,0.0,20.89,16.67,31.15
Barry McCarthy,4.0,0,29,3,7.25,7,2,0,1,0,7,8.92,8.0,16.67,9.67,20.89,29.17,31.15
Barry McCarthy,4.0,0,46,0,11.5,4,4,2,0,0,7,8.92,0.0,16.67,0.0,20.89,16.67,31.15
Barry McCarthy,4.0,0,33,1,8.25,9,3,1,1,0,7,8.92,24.0,16.67,33.0,20.89,37.5,31.15
Barry McCarthy,2.0,0,16,0,8.0,4,0,1,0,0,7,8.92,0.0,16.67,0.0,20.89,33.33,31.15
Barry McCarthy,4.0,0,24,0,6.0,11,2,0,2,0,7,8.92,0.0,16.67,0.0,20.89,45.83,31.15
Barry McCarthy,3.0,0,20,1,6.66,7,1,0,3,0,7,8.92,18.0,16.67,20.0,20.89,38.89,31.15
Bas de Leede,3.0,0,25,2,8.33,4,1,0,1,2,7,7.88,9.0,9.0,12.5,10.81,22.22,37.5
Bas de Leede,3.0,0,33,0,11.0,6,5,1,1,0,7,7.88,0.0,9.0,0.0,10.81,33.33,37.5
Bas de Leede,3.0,0,31,2,10.33,5,2,2,0,0,7,7.88,9.0,9.0,15.5,10.81,27.78,37.5
Bas de Leede,3.0,0,18,2,6.0,6,1,0,0,0,7,7.88,9.0,9.0,9.0,10.81,33.33,37.5
Bas de Leede,4.0,0,14,2,3.5,11,0,0,0,0,7,7.88,12.0,9.0,7.0,10.81,45.83,37.5
