batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Aaron Johnson,23,16,24,5,0,143.75,3,123.20666666666666,5,20,86.95652173913044,83.19796145883102,89,29.666666666666668
Aaron Johnson,14,13,23,3,0,107.69,3,123.20666666666666,3,12,85.71428571428571,83.19796145883102,89,29.666666666666668
Aaron Johnson,52,44,64,4,4,118.18,3,123.20666666666666,8,40,76.92307692307693,83.19796145883102,89,29.666666666666668
Aaron Jones,36,26,-,2,2,138.46,2,186.73000000000002,4,20,55.55555555555556,68.20330969267138,130,65.0
Aaron Jones,94,40,56,4,10,235.0,2,186.73000000000002,14,76,80.85106382978722,68.20330969267138,130,65.0
Aaron Jones (c),10,16,10,2,0,62.5,4,53.125,2,8,80.0,63.030303030303024,32,8.0
Aaron Jones (c),11,22,29,0,1,50.0,4,53.125,1,6,54.54545454545454,63.030303030303024,32,8.0
Aaron Jones (c),11,11,12,0,1,100.0,4,53.125,1,6,54.54545454545454,63.030303030303024,32,8.0
Aaron Jones (c),0,5,4,0,0,0.0,4,53.125,0,0,,63.030303030303024,32,8.0
Aasif Sheikh †,42,49,77,4,1,85.71,2,67.85499999999999,5,22,52.38095238095239,76.19047619047619,46,23.0
Aasif Sheikh †,4,8,8,1,0,50.0,2,67.85499999999999,1,4,100.0,76.19047619047619,46,23.0
Abbas Afridi,17,21,32,1,1,80.95,1,80.95,2,10,58.82352941176471,58.82352941176471,17,17.0
Abinash Bohara,0,1,1,0,0,0.0,1,0.0,0,0,,,0,0.0
Adam Zampa,9,7,15,1,0,128.57,1,128.57,1,4,44.44444444444444,44.44444444444444,9,9.0
Adil Rashid,2,2,2,0,0,100.0,1,100.0,0,0,0.0,0.0,2,2.0
Aiden Markram (c),12,14,14,0,1,85.71,9,78.57333333333332,1,6,50.0,58.14613526570048,123,13.666666666666666
Aiden Markram (c),18,15,20,2,0,120.0,9,78.57333333333332,2,8,44.44444444444444,58.14613526570048,123,13.666666666666666
Aiden Markram (c),4,8,14,1,0,50.0,9,78.57333333333332,1,4,100.0,58.14613526570048,123,13.666666666666666
Aiden Markram (c),1,2,4,0,0,50.0,9,78.57333333333332,0,0,0.0,58.14613526570048,123,13.666666666666666
Aiden Markram (c),46,32,52,4,1,143.75,9,78.57333333333332,5,22,47.82608695652174,58.14613526570048,123,13.666666666666666
Aiden Markram (c),15,22,27,2,0,68.18,9,78.57333333333332,2,8,53.333333333333336,58.14613526570048,123,13.666666666666666
Aiden Markram (c),0,3,13,0,0,0.0,9,78.57333333333332,0,0,,58.14613526570048,123,13.666666666666666
Aiden Markram (c),23,21,35,4,0,109.52,9,78.57333333333332,4,16,69.56521739130434,58.14613526570048,123,13.666666666666666
Aiden Markram (c),4,5,4,1,0,80.0,9,78.57333333333332,1,4,100.0,58.14613526570048,123,13.666666666666666
Akeal Hosein,6,11,12,1,0,54.54,2,71.385,1,4,66.66666666666666,53.33333333333333,21,10.5
Akeal Hosein,15,17,17,0,1,88.23,2,71.385,1,6,40.0,53.33333333333333,21,10.5
Alei Nao,3,7,14,0,0,42.85,4,48.65,0,0,0.0,20.512820512820515,21,5.25
Alei Nao,5,6,10,0,0,83.33,4,48.65,0,0,0.0,20.512820512820515,21,5.25
Alei Nao,13,19,25,2,0,68.42,4,48.65,2,8,61.53846153846154,20.512820512820515,21,5.25
Alei Nao,0,0,2,0,0,0.0,4,48.65,0,0,,20.512820512820515,21,5.25
Ali Khan,14,6,11,1,1,233.33,2,116.665,2,10,71.42857142857143,71.42857142857143,14,7.0
Ali Khan,0,2,1,0,0,0.0,2,116.665,0,0,,71.42857142857143,14,7.0
Alpesh Ramjani,0,6,15,0,0,0.0,4,40.832499999999996,0,0,,65.0,13,3.25
Alpesh Ramjani,0,2,1,0,0,0.0,4,40.832499999999996,0,0,,65.0,13,3.25
Alpesh Ramjani,8,10,15,1,0,80.0,4,40.832499999999996,1,4,50.0,65.0,13,3.25
Alpesh Ramjani,5,6,5,1,0,83.33,4,40.832499999999996,1,4,80.0,65.0,13,3.25
Alzarri Joseph,6,6,6,1,0,100.0,2,128.57,1,4,66.66666666666666,60.606060606060595,17,8.5
Alzarri Joseph,11,7,14,0,1,157.14,2,128.57,1,6,54.54545454545454,60.606060606060595,17,8.5
Andre Russell,15,9,11,0,1,166.66,6,143.29833333333332,1,6,40.0,50.0,78,13.0
