batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg
Andries Gous †,4,137.865,49.89224137931035,119,29.75,18.25
David Warner,7,131.06714285714287,51.99821292813207,178,25.428571428571427,18.285714285714285
George Munsey,4,134.01999999999998,55.156794425087114,124,31.0,22.25
Harry Brook,4,158.7025,50.10116419108792,145,36.25,23.0
Jos Buttler (c)†,7,145.76857142857142,62.07830738371828,214,30.571428571428573,19.285714285714285
Marcus Stoinis,5,136.144,50.01157540494753,169,33.8,20.6
Nicholas Pooran †,7,132.4,61.10395095989334,228,32.57142857142857,22.285714285714285
Phil Salt,7,171.78571428571428,62.56838656838657,188,26.857142857142858,16.857142857142858
Rohit Sharma (c),8,140.00375,63.15300514385183,257,32.125,20.5
Travis Head,7,138.85714285714286,76.38791792891463,255,36.42857142857143,23.0
